parallel_requests,QPS,median_lat,tail_lat,clustersize,query,rfshards
176,11820.5,13,121,4,direct,rf2_s1__
208,11873.1,17,130,4,direct,rf2_s1__
240,12114.6,20,135,4,direct,rf2_s1__
272,12117.3,23,165,4,direct,rf2_s1__
304,12049.9,27,182,4,direct,rf2_s1__
16,4103.1,2,6,4,direct,rf2_s1__
336,12256.4,29,193,4,direct,rf2_s1__
368,12281.2,34,199,4,direct,rf2_s1__
48,9857.5,3,63,4,direct,rf2_s1__
80,12381.0,5,77,4,direct,rf2_s1__
112,11843.0,8,109,4,direct,rf2_s1__
144,11747.1,11,116,4,direct,rf2_s1__
176,4313.1,26,128,4,direct,rf4_s4__
208,4700.3,31,137,4,direct,rf4_s4__
240,4634.6,36,154,4,direct,rf4_s4__
272,5088.6,40,154,4,direct,rf4_s4__
304,4617.2,44,160,4,direct,rf4_s4__
16,1880.3,4,15,4,direct,rf4_s4__
336,4809.3,52,179,4,direct,rf4_s4__
368,4913.9,56,194,4,direct,rf4_s4__
48,4413.3,6,18,4,direct,rf4_s4__
80,4505.4,11,90,4,direct,rf4_s4__
112,4206.7,16,107,4,direct,rf4_s4__
144,4563.2,21,120,4,direct,rf4_s4__
176,25692.5,5,11,4,direct,rf8_s1__
208,25702.7,6,14,4,direct,rf8_s1__
240,25993.0,7,17,4,direct,rf8_s1__
272,26314.2,8,19,4,direct,rf8_s1__
304,26313.1,9,22,4,direct,rf8_s1__
16,5926.7,1,4,4,direct,rf8_s1__
336,26720.6,10,24,4,direct,rf8_s1__
368,26849.3,11,27,4,direct,rf8_s1__
48,16345.9,1,4,4,direct,rf8_s1__
80,23522.5,2,4,4,direct,rf8_s1__
112,25929.9,2,6,4,direct,rf8_s1__
144,26204.2,4,9,4,direct,rf8_s1__
176,7333.7,16,97,4,direct,rf8_s2__
208,7547.1,19,103,4,direct,rf8_s2__
240,7434.9,21,104,4,direct,rf8_s2__
272,7955.0,24,116,4,direct,rf8_s2__
304,8227.4,28,115,4,direct,rf8_s2__
16,2766.4,4,7,4,direct,rf8_s2__
336,7962.5,29,132,4,direct,rf8_s2__
368,8331.8,32,136,4,direct,rf8_s2__
48,5785.4,4,10,4,direct,rf8_s2__
80,5930.1,7,25,4,direct,rf8_s2__
112,6665.1,10,80,4,direct,rf8_s2__
144,6460.5,13,97,4,direct,rf8_s2__
