parallel_requests,QPS,median_lat,tail_lat,clustersize,query,rfshards
16,1694.0,6,11,4,solrj,rf4_s16_
32,1793.9,11,54,4,solrj,rf4_s16_
48,1805.5,17,120,4,solrj,rf4_s16_
64,1812.9,23,137,4,solrj,rf4_s16_
80,1742.2,30,154,4,solrj,rf4_s16_
96,1634.4,37,184,4,solrj,rf4_s16_
16,2966.5,3,6,4,solrj,rf4_s4__
32,4673.2,4,9,4,solrj,rf4_s4__
48,4707.8,6,18,4,solrj,rf4_s4__
64,4720.4,8,33,4,solrj,rf4_s4__
80,4622.0,11,81,4,solrj,rf4_s4__
96,4673.6,13,96,4,solrj,rf4_s4__
16,2287.2,4,8,4,solrj,rf4_s8__
32,2839.3,7,17,4,solrj,rf4_s8__
48,3008.6,10,40,4,solrj,rf4_s8__
64,2952.5,14,100,4,solrj,rf4_s8__
80,2812.8,18,112,4,solrj,rf4_s8__
96,2965.5,21,122,4,solrj,rf4_s8__
16,1323.6,7,14,4,solrj,rf8_s16_
32,1449.0,13,135,4,solrj,rf8_s16_
48,1319.7,20,153,4,solrj,rf8_s16_
64,1535.5,25,165,4,solrj,rf8_s16_
80,1353.2,32,204,4,solrj,rf8_s16_
96,1310.8,40,204,4,solrj,rf8_s16_
16,2115.2,4,8,4,solrj,rf8_s8__
32,2653.0,7,18,4,solrj,rf8_s8__
48,2484.6,12,109,4,solrj,rf8_s8__
64,2484.8,15,120,4,solrj,rf8_s8__
80,2535.9,19,124,4,solrj,rf8_s8__
96,2532.1,23,139,4,solrj,rf8_s8__
