parallel_requests,QPS,median_lat,tail_lat,clustersize,query,rfshards
176,1577.7,71,408,4,solrj,rf2_s16_
256,1647.7,104,723,4,solrj,rf2_s16_
16,1705.6,6,12,4,solrj,rf2_s16_
336,1861.7,142,676,4,solrj,rf2_s16_
416,1597.5,172,1290,4,solrj,rf2_s16_
96,1766.0,36,173,4,solrj,rf2_s16_
176,7652.4,14,91,4,solrj,rf2_s2__
256,7300.8,20,111,4,solrj,rf2_s2__
16,2891.2,4,7,4,solrj,rf2_s2__
336,7064.8,26,147,4,solrj,rf2_s2__
416,8024.6,33,168,4,solrj,rf2_s2__
96,7674.9,7,33,4,solrj,rf2_s2__
176,1370.9,65,524,4,solrj,rf4_s16_
256,1600.7,102,629,4,solrj,rf4_s16_
16,1491.4,6,12,4,solrj,rf4_s16_
336,1805.4,147,763,4,solrj,rf4_s16_
416,1737.9,168,1201,4,solrj,rf4_s16_
96,1649.3,36,207,4,solrj,rf4_s16_
176,25521.0,3,15,4,solrj,rf4_s1__
256,26566.6,5,24,4,solrj,rf4_s1__
16,4591.8,2,5,4,solrj,rf4_s1__
336,25953.2,7,41,4,solrj,rf4_s1__
416,25703.6,8,60,4,solrj,rf4_s1__
96,24511.5,1,8,4,solrj,rf4_s1__
