parallel_requests,QPS,median_lat,tail_lat,clustersize,query,rfshards
176,17610.4,4,37,4,solrj,rf2_s1__
208,18338.6,4,45,4,solrj,rf2_s1__
240,18250.6,5,52,4,solrj,rf2_s1__
272,18575.3,6,60,4,solrj,rf2_s1__
304,18475.6,6,68,4,solrj,rf2_s1__
16,5224.0,1,4,4,solrj,rf2_s1__
336,18946.8,7,71,4,solrj,rf2_s1__
368,18632.3,8,78,4,solrj,rf2_s1__
48,14966.2,1,5,4,solrj,rf2_s1__
80,16314.9,2,12,4,solrj,rf2_s1__
112,17035.5,2,19,4,solrj,rf2_s1__
144,17666.9,3,27,4,solrj,rf2_s1__
176,4659.1,24,127,4,solrj,rf4_s4__
208,4658.0,30,142,4,solrj,rf4_s4__
240,4642.8,34,159,4,solrj,rf4_s4__
272,4732.7,41,168,4,solrj,rf4_s4__
304,4718.3,46,187,4,solrj,rf4_s4__
16,2734.2,3,6,4,solrj,rf4_s4__
336,4865.7,48,221,4,solrj,rf4_s4__
368,4733.3,54,213,4,solrj,rf4_s4__
48,4501.8,6,18,4,solrj,rf4_s4__
80,4488.5,11,91,4,solrj,rf4_s4__
112,4487.5,15,103,4,solrj,rf4_s4__
144,4653.6,19,115,4,solrj,rf4_s4__
176,24665.0,4,16,4,solrj,rf8_s1__
208,25282.6,4,20,4,solrj,rf8_s1__
240,24563.5,5,26,4,solrj,rf8_s1__
272,24793.3,6,31,4,solrj,rf8_s1__
304,24810.3,6,39,4,solrj,rf8_s1__
16,4529.6,2,5,4,solrj,rf8_s1__
336,24792.0,7,46,4,solrj,rf8_s1__
368,24521.4,8,54,4,solrj,rf8_s1__
48,15682.4,1,4,4,solrj,rf8_s1__
80,23438.9,1,6,4,solrj,rf8_s1__
112,25087.0,1,10,4,solrj,rf8_s1__
144,24988.0,2,13,4,solrj,rf8_s1__
176,7552.7,14,95,4,solrj,rf8_s2__
208,7671.2,17,99,4,solrj,rf8_s2__
240,7350.8,19,111,4,solrj,rf8_s2__
272,7501.7,21,122,4,solrj,rf8_s2__
304,7316.3,25,136,4,solrj,rf8_s2__
16,2768.6,4,7,4,solrj,rf8_s2__
336,6564.7,26,149,4,solrj,rf8_s2__
368,6784.2,28,161,4,solrj,rf8_s2__
48,6508.7,4,11,4,solrj,rf8_s2__
80,6904.5,7,27,4,solrj,rf8_s2__
112,7195.6,9,69,4,solrj,rf8_s2__
144,7372.8,12,85,4,solrj,rf8_s2__
