parallel_requests,QPS,median_lat,tail_lat,clustersize,query,rfshards
32,1448.3,9,147,8,direct,rf16_s16
64,1433.1,17,245,8,direct,rf16_s16
96,1518.5,26,274,8,direct,rf16_s16
128,1440.8,38,301,8,direct,rf16_s16
160,1673.4,48,295,8,direct,rf16_s16
192,1891.5,54,303,8,direct,rf16_s16
32,2532.3,5,46,8,direct,rf16_s8_
64,2813.1,9,157,8,direct,rf16_s8_
96,2662.8,14,224,8,direct,rf16_s8_
128,3194.1,19,226,8,direct,rf16_s8_
160,3302.8,23,229,8,direct,rf16_s8_
192,3190.2,29,246,8,direct,rf16_s8_
32,2144.7,7,107,8,direct,rf8_s16_
64,2035.2,13,201,8,direct,rf8_s16_
96,2056.1,20,249,8,direct,rf8_s16_
128,2016.9,29,265,8,direct,rf8_s16_
160,2271.0,37,246,8,direct,rf8_s16_
192,2360.6,46,258,8,direct,rf8_s16_
32,2797.7,5,27,8,direct,rf8_s4__
64,6030.9,5,26,8,direct,rf8_s4__
96,6473.8,7,96,8,direct,rf8_s4__
128,6763.0,9,104,8,direct,rf8_s4__
160,6935.1,12,113,8,direct,rf8_s4__
192,7591.5,13,112,8,direct,rf8_s4__
32,3255.5,4,16,8,direct,rf8_s8__
64,3797.9,8,126,8,direct,rf8_s8__
96,3924.8,12,126,8,direct,rf8_s8__
128,4273.0,16,132,8,direct,rf8_s8__
160,4253.5,21,144,8,direct,rf8_s8__
192,4399.6,25,149,8,direct,rf8_s8__
