parallel_requests,QPS,median_lat,tail_lat,clustersize,query,rfshards
352,62480.4,3,12,8,direct,rf16_s1_
416,62478.2,4,15,8,direct,rf16_s1_
480,62646.5,4,18,8,direct,rf16_s1_
544,64263.5,5,21,8,direct,rf16_s1_
608,64933.1,5,25,8,direct,rf16_s1_
32,12005.6,1,4,8,direct,rf16_s1_
672,65800.3,6,28,8,direct,rf16_s1_
736,66050.2,6,33,8,direct,rf16_s1_
96,34558.6,1,4,8,direct,rf16_s1_
160,54747.2,1,4,8,direct,rf16_s1_
224,56991.8,2,7,8,direct,rf16_s1_
288,58617.6,3,10,8,direct,rf16_s1_
352,9952.2,13,192,8,direct,rf16_s2_
416,11054.0,15,189,8,direct,rf16_s2_
480,11696.7,15,200,8,direct,rf16_s2_
544,12308.5,15,204,8,direct,rf16_s2_
608,12122.7,20,207,8,direct,rf16_s2_
32,3920.1,4,10,8,direct,rf16_s2_
672,12695.3,22,229,8,direct,rf16_s2_
736,13102.9,27,223,8,direct,rf16_s2_
96,8186.7,5,54,8,direct,rf16_s2_
160,8369.8,8,129,8,direct,rf16_s2_
224,8593.8,10,168,8,direct,rf16_s2_
288,8576.1,12,185,8,direct,rf16_s2_
352,26816.9,12,166,8,direct,rf4_s1__
416,27578.7,15,176,8,direct,rf4_s1__
480,28330.7,17,182,8,direct,rf4_s1__
544,28506.0,20,189,8,direct,rf4_s1__
608,28885.1,23,197,8,direct,rf4_s1__
32,7799.0,2,7,8,direct,rf4_s1__
672,28806.3,26,212,8,direct,rf4_s1__
736,29610.3,29,225,8,direct,rf4_s1__
96,19506.6,3,62,8,direct,rf4_s1__
160,25460.7,5,107,8,direct,rf4_s1__
224,26617.6,7,113,8,direct,rf4_s1__
288,26767.4,10,131,8,direct,rf4_s1__
352,9244.8,24,137,8,direct,rf4_s4__
416,9897.0,27,143,8,direct,rf4_s4__
480,9613.3,32,150,8,direct,rf4_s4__
544,10514.0,36,164,8,direct,rf4_s4__
608,10392.4,39,185,8,direct,rf4_s4__
32,3647.4,4,18,8,direct,rf4_s4__
672,10863.6,41,197,8,direct,rf4_s4__
736,10625.3,46,209,8,direct,rf4_s4__
96,7475.1,6,80,8,direct,rf4_s4__
160,8278.6,11,94,8,direct,rf4_s4__
224,8528.9,15,110,8,direct,rf4_s4__
288,8412.6,18,133,8,direct,rf4_s4__
