parallel_requests,QPS,median_lat,tail_lat,clustersize,query,rfshards
32,1471.9,9,166,8,solrj,rf16_s16
64,1371.5,16,223,8,solrj,rf16_s16
96,1430.7,23,270,8,solrj,rf16_s16
128,1438.8,36,345,8,solrj,rf16_s16
160,1502.4,49,370,8,solrj,rf16_s16
192,1554.3,81,405,8,solrj,rf16_s16
32,2511.6,6,19,8,solrj,rf16_s8_
64,2724.6,9,147,8,solrj,rf16_s8_
96,2922.7,14,176,8,solrj,rf16_s8_
128,2892.2,17,204,8,solrj,rf16_s8_
160,2658.9,21,251,8,solrj,rf16_s8_
192,2968.3,26,257,8,solrj,rf16_s8_
32,1887.6,7,124,8,solrj,rf8_s16_
64,1953.3,13,187,8,solrj,rf8_s16_
96,1821.2,19,242,8,solrj,rf8_s16_
128,1941.6,27,246,8,solrj,rf8_s16_
160,1435.6,34,755,8,solrj,rf8_s16_
192,2093.5,44,327,8,solrj,rf8_s16_
32,4499.0,3,8,8,solrj,rf8_s4__
64,6201.2,5,26,8,solrj,rf8_s4__
96,6408.3,7,94,8,solrj,rf8_s4__
128,6632.7,8,103,8,solrj,rf8_s4__
160,6844.4,10,116,8,solrj,rf8_s4__
192,7068.8,12,130,8,solrj,rf8_s4__
32,3434.7,4,11,8,solrj,rf8_s8__
64,3785.6,8,110,8,solrj,rf8_s8__
96,3896.3,11,121,8,solrj,rf8_s8__
128,3995.6,14,137,8,solrj,rf8_s8__
160,3823.9,18,169,8,solrj,rf8_s8__
192,3736.4,22,189,8,solrj,rf8_s8__
