parallel_requests,QPS,median_lat,tail_lat,clustersize,query,rfshards
352,2453.3,90,742,8,solrj,rf2_s16_
512,2380.2,118,1695,8,solrj,rf2_s16_
32,2794.7,6,22,8,solrj,rf2_s16_
672,1926.4,154,2253,8,solrj,rf2_s16_
832,2077.4,184,2282,8,solrj,rf2_s16_
192,2665.2,38,232,8,solrj,rf2_s16_
352,2031.4,108,1148,8,solrj,rf4_s16_
512,2526.6,159,1230,8,solrj,rf4_s16_
32,2197.9,7,117,8,solrj,rf4_s16_
672,2059.7,159,2547,8,solrj,rf4_s16_
832,2649.3,253,1909,8,solrj,rf4_s16_
192,2502.5,42,233,8,solrj,rf4_s16_
352,10933.6,8,174,8,solrj,rf4_s2__
512,10008.4,11,245,8,solrj,rf4_s2__
32,4812.4,4,8,8,solrj,rf4_s2__
672,10398.2,13,269,8,solrj,rf4_s2__
832,10822.4,18,338,8,solrj,rf4_s2__
192,9853.6,7,113,8,solrj,rf4_s2__
352,33156.7,3,29,8,solrj,rf8_s1__
512,35697.0,4,68,8,solrj,rf8_s1__
32,8779.8,2,5,8,solrj,rf8_s1__
672,35930.1,4,103,8,solrj,rf8_s1__
832,35027.7,5,144,8,solrj,rf8_s1__
192,29438.6,2,10,8,solrj,rf8_s1__
