parallel_requests,QPS,median_lat,tail_lat,clustersize,query,rfshards
352,37155.6,3,29,8,solrj,rf16_s1_
416,38970.5,3,43,8,solrj,rf16_s1_
480,37891.6,3,59,8,solrj,rf16_s1_
544,38765.7,4,71,8,solrj,rf16_s1_
608,37238.3,4,90,8,solrj,rf16_s1_
32,8811.0,2,5,8,solrj,rf16_s1_
672,37562.2,4,104,8,solrj,rf16_s1_
736,37366.0,4,121,8,solrj,rf16_s1_
96,27179.6,1,5,8,solrj,rf16_s1_
160,32855.6,1,9,8,solrj,rf16_s1_
224,36979.6,2,12,8,solrj,rf16_s1_
288,38646.4,3,19,8,solrj,rf16_s1_
352,10021.2,9,170,8,solrj,rf16_s2_
416,10771.8,10,186,8,solrj,rf16_s2_
480,10714.3,11,209,8,solrj,rf16_s2_
544,10497.4,12,234,8,solrj,rf16_s2_
608,11792.2,15,221,8,solrj,rf16_s2_
32,4231.8,4,9,8,solrj,rf16_s2_
672,11309.7,16,258,8,solrj,rf16_s2_
736,11646.1,19,265,8,solrj,rf16_s2_
96,8184.8,5,58,8,solrj,rf16_s2_
160,8510.4,7,115,8,solrj,rf16_s2_
224,9415.2,8,133,8,solrj,rf16_s2_
288,9238.6,8,160,8,solrj,rf16_s2_
352,28257.9,4,60,8,solrj,rf4_s1__
416,29676.9,5,65,8,solrj,rf4_s1__
480,27655.7,5,90,8,solrj,rf4_s1__
544,27998.4,6,104,8,solrj,rf4_s1__
608,28847.7,7,109,8,solrj,rf4_s1__
32,9674.9,1,4,8,solrj,rf4_s1__
672,28746.5,7,124,8,solrj,rf4_s1__
736,31087.1,9,113,8,solrj,rf4_s1__
96,23829.4,1,7,8,solrj,rf4_s1__
160,25751.8,2,17,8,solrj,rf4_s1__
224,26699.0,2,30,8,solrj,rf4_s1__
288,27742.9,3,42,8,solrj,rf4_s1__
352,7430.1,17,176,8,solrj,rf4_s4__
416,8236.6,21,192,8,solrj,rf4_s4__
480,8635.2,23,216,8,solrj,rf4_s4__
544,8315.3,29,235,8,solrj,rf4_s4__
608,9151.0,35,240,8,solrj,rf4_s4__
32,5052.2,3,7,8,solrj,rf4_s4__
672,8129.3,36,295,8,solrj,rf4_s4__
736,8168.4,41,323,8,solrj,rf4_s4__
96,6924.0,6,87,8,solrj,rf4_s4__
160,7529.6,9,103,8,solrj,rf4_s4__
224,8140.5,11,125,8,solrj,rf4_s4__
288,7610.1,13,154,8,solrj,rf4_s4__
