parallel_requests,QPS,median_lat,tail_lat,clustersize,query,rfshards,
64,3756.67,6,121,16,direct,rf2_s16_,16
64,6420.6,4,32,16,direct,rf2_s4__,16
64,5566.33,4,40,16,direct,rf2_s8__,16
64,2800.47,6,146,16,direct,rf4_s16_,16
64,6404.4,4,30,16,direct,rf4_s2__,16
64,1646.47,11,211,16,direct,rf4_s32_,16
64,6209.8,4,22,16,direct,rf4_s4__,16
64,5118.8,4,86,16,direct,rf4_s8__,16
64,2950.6,6,126,16,direct,rf6_s16_,16
64,7687.67,4,15,16,direct,rf6_s2__,16
64,1661.2,13,156,16,direct,rf6_s32_,16
64,6254.6,3,21,16,direct,rf6_s4__,16
384,4823.73,47,200,16,direct,rf2_s16_,96
384,8488.33,30,186,16,direct,rf2_s4__,96
384,7739.13,21,165,16,direct,rf2_s8__,96
384,4099.73,55,234,16,direct,rf4_s16_,96
384,11069.53,19,177,16,direct,rf4_s2__,96
384,2644.07,146,328,16,direct,rf4_s32_,96
384,14521.73,11,118,16,direct,rf4_s4__,96
384,7820.73,21,164,16,direct,rf4_s8__,96
384,4101.13,51,241,16,direct,rf6_s16_,96
384,16452.47,9,137,16,direct,rf6_s2__,96
384,2445.2,147,373,16,direct,rf6_s32_,96
384,10866.6,12,159,16,direct,rf6_s4__,96
704,6264.73,103,245,16,direct,rf2_s16_,176
704,10049.8,58,251,16,direct,rf2_s4__,176
704,10895.2,41,169,16,direct,rf2_s8__,176
704,5680.87,105,284,16,direct,rf4_s16_,176
704,13462.93,32,229,16,direct,rf4_s2__,176
704,3186.13,208,425,16,direct,rf4_s32_,176
704,17798.87,17,138,16,direct,rf4_s4__,176
704,10196.73,39,199,16,direct,rf4_s8__,176
704,5333.27,109,320,16,direct,rf6_s16_,176
704,19977.33,16,163,16,direct,rf6_s2__,176
704,2813.6,228,541,16,direct,rf6_s32_,176
704,14203.07,24,173,16,direct,rf6_s4__,176
1024,7181.13,127,288,16,direct,rf2_s16_,256
1024,10271.8,82,331,16,direct,rf2_s4__,256
1024,11652.27,66,213,16,direct,rf2_s8__,256
1024,6357.4,147,333,16,direct,rf4_s16_,256
1024,14469.07,59,298,16,direct,rf4_s2__,256
1024,3679.47,252,546,16,direct,rf4_s32_,256
1024,19456.27,26,160,16,direct,rf4_s4__,256
1024,11688.0,63,218,16,direct,rf4_s8__,256
1024,5859.47,157,368,16,direct,rf6_s16_,256
1024,22598.0,28,184,16,direct,rf6_s2__,256
1024,3147.53,294,642,16,direct,rf6_s32_,256
1024,15997.87,38,187,16,direct,rf6_s4__,256
1344,7815.93,150,324,16,direct,rf2_s16_,336
1344,10650.53,122,403,16,direct,rf2_s4__,336
1344,12065.0,92,240,16,direct,rf2_s8__,336
1344,6769.67,175,384,16,direct,rf4_s16_,336
1344,14844.33,83,360,16,direct,rf4_s2__,336
1344,3728.6,318,816,16,direct,rf4_s32_,336
1344,20121.8,36,191,16,direct,rf4_s4__,336
1344,12002.8,89,250,16,direct,rf4_s8__,336
1344,6398.0,186,413,16,direct,rf6_s16_,336
1344,23353.93,45,221,16,direct,rf6_s2__,336
1344,3234.6,367,1140,16,direct,rf6_s32_,336
1344,16469.47,49,225,16,direct,rf6_s4__,336
1664,7844.4,183,381,16,direct,rf2_s16_,416
1664,10257.4,144,486,16,direct,rf2_s4__,416
1664,12412.33,110,276,16,direct,rf2_s8__,416
1664,6839.53,210,449,16,direct,rf4_s16_,416
1664,14917.0,114,428,16,direct,rf4_s2__,416
1664,3981.4,359,1319,16,direct,rf4_s32_,416
1664,19838.6,49,216,16,direct,rf4_s4__,416
1664,12209.13,107,298,16,direct,rf4_s8__,416
1664,6419.47,222,494,16,direct,rf6_s16_,416
1664,23402.93,62,248,16,direct,rf6_s2__,416
1664,3680.13,392,1234,16,direct,rf6_s32_,416
1664,16867.0,66,251,16,direct,rf6_s4__,416
1984,7298.27,220,588,16,direct,rf2_s16_,496
1984,10732.4,170,552,16,direct,rf2_s4__,496
1984,12852.0,124,303,16,direct,rf2_s8__,496
1984,6758.47,246,533,16,direct,rf4_s16_,496
1984,14973.2,158,602,16,direct,rf4_s2__,496
1984,4191.27,402,1371,16,direct,rf4_s32_,496
1984,20798.0,61,227,16,direct,rf4_s4__,496
1984,12210.67,131,329,16,direct,rf4_s8__,496
1984,6372.73,260,576,16,direct,rf6_s16_,496
1984,24229.27,71,286,16,direct,rf6_s2__,496
1984,3751.2,461,1379,16,direct,rf6_s32_,496
1984,17060.73,82,271,16,direct,rf6_s4__,496
2304,7953.2,236,523,16,direct,rf2_s16_,576
2304,10841.87,202,732,16,direct,rf2_s4__,576
2304,12437.47,148,343,16,direct,rf2_s8__,576
2304,6854.6,277,712,16,direct,rf4_s16_,576
2304,14242.0,171,690,16,direct,rf4_s2__,576
2304,4008.07,471,1645,16,direct,rf4_s32_,576
2304,20483.27,73,256,16,direct,rf4_s4__,576
2304,12429.07,148,357,16,direct,rf4_s8__,576
2304,6572.47,290,806,16,direct,rf6_s16_,576
2304,23955.6,85,345,16,direct,rf6_s2__,576
2304,3521.93,559,1341,16,direct,rf6_s32_,576
2304,17447.67,95,301,16,direct,rf6_s4__,576
2624,7905.93,264,638,16,direct,rf2_s16_,656
2624,10720.53,244,855,16,direct,rf2_s4__,656
2624,12672.2,160,379,16,direct,rf2_s8__,656
2624,7069.0,300,1104,16,direct,rf4_s16_,656
2624,14710.47,197,815,16,direct,rf4_s2__,656
2624,3890.27,557,1328,16,direct,rf4_s32_,656
2624,20343.07,85,280,16,direct,rf4_s4__,656
2624,12221.2,169,397,16,direct,rf4_s8__,656
2624,6671.87,317,1222,16,direct,rf6_s16_,656
2624,23349.27,96,390,16,direct,rf6_s2__,656
2624,3394.73,633,903,16,direct,rf6_s32_,656
2624,17078.87,113,332,16,direct,rf6_s4__,656
2944,7928.4,289,1152,16,direct,rf2_s16_,736
2944,10243.6,276,977,16,direct,rf2_s4__,736
2944,12002.73,187,446,16,direct,rf2_s8__,736
2944,7259.6,321,1357,16,direct,rf4_s16_,736
2944,14254.87,218,832,16,direct,rf4_s2__,736
2944,3826.6,621,784,16,direct,rf4_s32_,736
2944,19701.93,102,310,16,direct,rf4_s4__,736
2944,11890.67,190,460,16,direct,rf4_s8__,736
2944,6873.13,341,1343,16,direct,rf6_s16_,736
2944,23116.67,110,510,16,direct,rf6_s2__,736
2944,3578.6,696,594,16,direct,rf6_s32_,736
2944,16729.8,130,356,16,direct,rf6_s4__,736
3264,8333.8,305,1073,16,direct,rf2_s16_,816
3264,10791.93,298,982,16,direct,rf2_s4__,816
3264,11916.0,205,492,16,direct,rf2_s8__,816
3264,7406.4,348,1279,16,direct,rf4_s16_,816
3264,14136.27,247,822,16,direct,rf4_s2__,816
3264,3619.93,690,616,16,direct,rf4_s32_,816
3264,19699.27,115,336,16,direct,rf4_s4__,816
3264,11533.53,212,542,16,direct,rf4_s8__,816
3264,6836.6,368,1552,16,direct,rf6_s16_,816
3264,22814.53,130,519,16,direct,rf6_s2__,816
3264,3489.8,764,464,16,direct,rf6_s32_,816
3264,15919.07,146,431,16,direct,rf6_s4__,816
