parallel_requests,QPS,median_lat,tail_lat,clustersize,query,rfshards,
16,17520.4,0,0,1,direct,rf4_s4__,4
16,11685.33,2,8,1,direct,rf4_s8__,4
96,24651.8,2,6,1,direct,rf4_s4__,24
96,12324.47,14,31,1,direct,rf4_s8__,24
176,24405.93,5,12,1,direct,rf4_s4__,44
176,11903.07,22,61,1,direct,rf4_s8__,44
256,23799.87,7,18,1,direct,rf4_s4__,64
256,11644.07,34,101,1,direct,rf4_s8__,64
336,23294.8,10,25,1,direct,rf4_s4__,84
336,11005.8,48,131,1,direct,rf4_s8__,84
416,22233.0,12,32,1,direct,rf4_s4__,104
416,10810.73,65,173,1,direct,rf4_s8__,104
496,21355.8,15,39,1,direct,rf4_s4__,124
496,10484.4,83,226,1,direct,rf4_s8__,124
576,20505.6,17,50,1,direct,rf4_s4__,144
576,10228.87,97,331,1,direct,rf4_s8__,144
656,19184.67,20,59,1,direct,rf4_s4__,164
656,10064.53,109,484,1,direct,rf4_s8__,164
736,19369.6,23,66,1,direct,rf4_s4__,184
736,9534.0,113,800,1,direct,rf4_s8__,184
816,16939.27,26,83,1,direct,rf4_s4__,204
816,9368.2,131,765,1,direct,rf4_s8__,204
