parallel_requests,QPS,median_lat,tail_lat,clustersize,query,rfshards
1408,5400.0,87,2272,32,solrj,rf2_s16_
2048,3768.87,190,2331,32,solrj,rf2_s16_
128,5542.33,7,111,32,solrj,rf2_s16_
2688,3690.2,246,2496,32,solrj,rf2_s16_
3328,3543.2,477,1380,32,solrj,rf2_s16_
768,9222.73,48,249,32,solrj,rf2_s16_
1408,6625.73,106,1214,32,solrj,rf4_s16_
2048,6108.6,137,2951,32,solrj,rf4_s16_
128,4575.87,7,146,32,solrj,rf4_s16_
2688,5985.13,203,3250,32,solrj,rf4_s16_
3328,6525.87,275,2786,32,solrj,rf4_s16_
768,7144.4,47,338,32,solrj,rf4_s16_
