parallel_requests,QPS,median_lat,tail_lat,clustersize,query,rfshards,
64,1415.2,26,161,4,solrj,rf2_s16_,16
64,2443.13,14,138,4,solrj,rf3_s8__,16
64,3522.87,17,29,4,solrj,rf4_s16_,16
64,3408.13,17,29,4,solrj,rf4_s2__,16
64,2622.2,11,113,4,solrj,rf4_s4__,16
64,2427.87,13,119,4,solrj,rf4_s8__,16
64,2933.33,10,101,4,solrj,rf6_s4__,16
384,1166.27,150,1979,4,solrj,rf2_s16_,96
384,2655.4,109,376,4,solrj,rf3_s8__,96
384,3385.4,93,175,4,solrj,rf4_s16_,96
384,3375.33,91,175,4,solrj,rf4_s2__,96
384,2414.53,73,651,4,solrj,rf4_s4__,96
384,1387.07,100,1579,4,solrj,rf4_s8__,96
384,3239.47,66,381,4,solrj,rf6_s4__,96
704,1135.0,319,2110,4,solrj,rf2_s16_,176
704,2610.87,169,1162,4,solrj,rf3_s8__,176
704,3474.53,164,317,4,solrj,rf4_s16_,176
704,3444.0,169,317,4,solrj,rf4_s2__,176
704,2530.87,121,1530,4,solrj,rf4_s4__,176
704,1820.87,145,2575,4,solrj,rf4_s8__,176
704,2990.87,132,1307,4,solrj,rf6_s4__,176
1024,1002.8,607,702,4,solrj,rf2_s16_,256
1024,2848.2,167,1677,4,solrj,rf3_s8__,256
1024,3373.2,273,463,4,solrj,rf4_s16_,256
1024,3385.27,276,464,4,solrj,rf4_s2__,256
1024,2835.93,204,1956,4,solrj,rf4_s4__,256
1024,993.67,475,840,4,solrj,rf4_s8__,256
1024,3034.2,208,1685,4,solrj,rf6_s4__,256
1344,505.13,1730,1063,4,solrj,rf2_s16_,336
1344,2500.07,213,2360,4,solrj,rf3_s8__,336
1344,3271.6,370,1164,4,solrj,rf4_s16_,336
1344,3264.73,395,1130,4,solrj,rf4_s2__,336
1344,2740.67,269,2371,4,solrj,rf4_s4__,336
1344,854.33,1224,506,4,solrj,rf4_s8__,336
1344,2553.0,251,2329,4,solrj,rf6_s4__,336
1664,786.87,2153,590,4,solrj,rf2_s16_,416
1664,2309.27,403,1490,4,solrj,rf3_s8__,416
1664,3183.8,510,1483,4,solrj,rf4_s16_,416
1664,1876.87,599,1043,4,solrj,rf4_s4__,416
1664,1551.67,614,1262,4,solrj,rf4_s8__,416
1664,2781.53,297,1824,4,solrj,rf6_s4__,416
1984,238.47,1357,1133,4,solrj,rf2_s16_,496
1984,2239.47,676,794,4,solrj,rf3_s8__,496
1984,3140.0,608,1607,4,solrj,rf4_s16_,496
1984,1942.87,356,1315,4,solrj,rf4_s4__,496
1984,1284.73,899,665,4,solrj,rf4_s8__,496
1984,2175.4,326,1419,4,solrj,rf6_s4__,496
2304,537.33,1618,1130,4,solrj,rf2_s16_,576
2304,1424.47,1206,412,4,solrj,rf3_s8__,576
2304,3127.93,706,790,4,solrj,rf4_s16_,576
2304,1835.53,520,1026,4,solrj,rf4_s4__,576
2304,886.53,1458,595,4,solrj,rf4_s8__,576
2304,2398.67,559,769,4,solrj,rf6_s4__,576
2624,832.93,2169,1144,4,solrj,rf2_s16_,656
2624,1640.67,1600,666,4,solrj,rf3_s8__,656
2624,3194.67,763,559,4,solrj,rf4_s16_,656
2624,2671.0,524,817,4,solrj,rf4_s4__,656
2624,954.33,1587,1024,4,solrj,rf4_s8__,656
2624,2003.6,580,622,4,solrj,rf6_s4__,656
2944,914.93,1578,826,4,solrj,rf2_s16_,736
2944,1245.87,1094,488,4,solrj,rf3_s8__,736
2944,3069.13,929,491,4,solrj,rf4_s16_,736
2944,1938.87,790,572,4,solrj,rf4_s4__,736
2944,1169.27,1630,488,4,solrj,rf4_s8__,736
2944,1773.07,1166,779,4,solrj,rf6_s4__,736
3264,941.67,1432,709,4,solrj,rf2_s16_,816
3264,1310.8,2049,1080,4,solrj,rf3_s8__,816
3264,3916.33,751,622,4,solrj,rf4_s16_,816
3264,2276.93,821,566,4,solrj,rf4_s4__,816
3264,1023.47,1533,806,4,solrj,rf4_s8__,816
3264,2102.87,1181,419,4,solrj,rf6_s4__,816
