parallel_requests,QPS,median_lat,tail_lat,clustersize,query,rfshards,
64,1054.8,27,268,4,solrj,rf4_s16_,16
64,5031.73,6,20,4,solrj,rf4_s2__,16
64,3355.27,9,39,4,solrj,rf4_s4__,16
64,2052.33,16,168,4,solrj,rf4_s8__,16
384,782.27,220,2155,4,solrj,rf4_s16_,96
384,4844.47,32,316,4,solrj,rf4_s2__,96
384,3316.0,63,384,4,solrj,rf4_s4__,96
384,1674.8,122,1033,4,solrj,rf4_s8__,96
704,679.4,589,678,4,solrj,rf4_s16_,176
704,4840.67,47,746,4,solrj,rf4_s2__,176
704,3660.27,133,596,4,solrj,rf4_s4__,176
704,2180.93,237,1295,4,solrj,rf4_s8__,176
1024,471.8,1225,366,4,solrj,rf4_s16_,256
1024,5710.73,105,716,4,solrj,rf4_s2__,256
1024,4303.53,172,768,4,solrj,rf4_s4__,256
1024,2050.2,360,2441,4,solrj,rf4_s8__,256
1344,355.2,1671,708,4,solrj,rf4_s16_,336
1344,4620.4,149,1515,4,solrj,rf4_s2__,336
1344,4328.53,212,1202,4,solrj,rf4_s4__,336
1344,1766.67,584,1099,4,solrj,rf4_s8__,336
1664,517.07,1061,514,4,solrj,rf4_s16_,416
1664,5209.93,128,1799,4,solrj,rf4_s2__,416
1664,4564.47,282,1315,4,solrj,rf4_s4__,416
1664,1094.07,1096,396,4,solrj,rf4_s8__,416
1984,270.13,141,125,4,solrj,rf4_s16_,496
1984,3939.93,200,2363,4,solrj,rf4_s2__,496
1984,4020.93,263,2077,4,solrj,rf4_s4__,496
1984,1212.93,750,519,4,solrj,rf4_s8__,496
2304,626.4,758,247,4,solrj,rf4_s16_,576
2304,3866.27,217,2318,4,solrj,rf4_s2__,576
2304,3632.4,335,1781,4,solrj,rf4_s4__,576
2304,1337.73,1491,594,4,solrj,rf4_s8__,576
2624,334.13,724,409,4,solrj,rf4_s16_,656
2624,3420.27,297,1456,4,solrj,rf4_s2__,656
2624,2807.93,593,738,4,solrj,rf4_s4__,656
2624,1826.73,1143,467,4,solrj,rf4_s8__,656
2944,292.53,600,330,4,solrj,rf4_s16_,736
2944,4126.0,278,1830,4,solrj,rf4_s2__,736
2944,3233.07,607,1028,4,solrj,rf4_s4__,736
2944,1385.2,1073,738,4,solrj,rf4_s8__,736
3264,436.4,1046,570,4,solrj,rf4_s16_,816
3264,4042.53,321,1360,4,solrj,rf4_s2__,816
3264,3311.8,533,833,4,solrj,rf4_s4__,816
3264,1119.0,2083,1134,4,solrj,rf4_s8__,816
