parallel_requests,QPS,median_lat,tail_lat,clustersize,query,rfshards,
64,2433.6,12,143,8,direct,rf2_s16_,16
64,6795.67,4,10,8,direct,rf2_s4__,16
64,3994.47,7,111,8,direct,rf2_s8__,16
64,2188.07,13,152,8,direct,rf4_s16_,16
64,7746.13,3,9,8,direct,rf4_s2__,16
64,1356.53,22,174,8,direct,rf4_s32_,16
64,4980.93,5,45,8,direct,rf4_s4__,16
64,3819.73,7,109,8,direct,rf4_s8__,16
64,1915.67,15,158,8,direct,rf6_s16_,16
64,8045.07,3,10,8,direct,rf6_s2__,16
64,1080.33,26,201,8,direct,rf6_s32_,16
64,5661.0,4,15,8,direct,rf6_s4__,16
384,3215.87,82,293,8,direct,rf2_s16_,96
384,9313.93,25,130,8,direct,rf2_s4__,96
384,4994.93,50,195,8,direct,rf2_s8__,96
384,2465.27,122,371,8,direct,rf4_s16_,96
384,12444.53,14,134,8,direct,rf4_s2__,96
384,1614.73,230,488,8,direct,rf4_s32_,96
384,8127.13,26,150,8,direct,rf4_s4__,96
384,4855.53,47,219,8,direct,rf4_s8__,96
384,2101.13,149,453,8,direct,rf6_s16_,96
384,11795.8,14,143,8,direct,rf6_s2__,96
384,1145.27,309,880,8,direct,rf6_s32_,96
384,6546.6,28,194,8,direct,rf6_s4__,96
704,3733.0,154,412,8,direct,rf2_s16_,176
704,10646.6,47,168,8,direct,rf2_s4__,176
704,6048.4,102,243,8,direct,rf2_s8__,176
704,3186.0,190,470,8,direct,rf4_s16_,176
704,15090.13,25,155,8,direct,rf4_s2__,176
704,1961.6,322,824,8,direct,rf4_s32_,176
704,9461.0,47,213,8,direct,rf4_s4__,176
704,5815.33,98,277,8,direct,rf4_s8__,176
704,2565.13,254,594,8,direct,rf6_s16_,176
704,14095.47,25,167,8,direct,rf6_s2__,176
704,1646.07,386,1126,8,direct,rf6_s32_,176
704,8888.87,50,218,8,direct,rf6_s4__,176
1024,4199.13,218,473,8,direct,rf2_s16_,256
1024,11199.67,69,223,8,direct,rf2_s4__,256
1024,6533.2,138,322,8,direct,rf2_s8__,256
1024,3547.27,253,576,8,direct,rf4_s16_,256
1024,16413.87,39,175,8,direct,rf4_s2__,256
1024,2081.53,437,1381,8,direct,rf4_s32_,256
1024,9530.33,80,268,8,direct,rf4_s4__,256
1024,6216.67,138,368,8,direct,rf4_s8__,256
1024,2971.0,313,709,8,direct,rf6_s16_,256
1024,14600.73,41,208,8,direct,rf6_s2__,256
1024,1652.2,548,1710,8,direct,rf6_s32_,256
1024,9362.4,81,274,8,direct,rf6_s4__,256
1344,4047.67,280,734,8,direct,rf2_s16_,336
1344,10999.4,95,267,8,direct,rf2_s4__,336
1344,6819.07,170,389,8,direct,rf2_s8__,336
1344,3558.33,330,1021,8,direct,rf4_s16_,336
1344,16129.73,54,216,8,direct,rf4_s2__,336
1344,2176.33,555,1493,8,direct,rf4_s32_,336
1344,9969.67,107,310,8,direct,rf4_s4__,336
1344,6792.53,168,415,8,direct,rf4_s8__,336
1344,3091.53,386,1129,8,direct,rf6_s16_,336
1344,15501.0,56,233,8,direct,rf6_s2__,336
1344,1855.27,666,1301,8,direct,rf6_s32_,336
1344,9706.87,112,311,8,direct,rf6_s4__,336
1664,4129.53,334,1225,8,direct,rf2_s16_,416
1664,11379.53,117,301,8,direct,rf2_s4__,416
1664,6898.93,202,484,8,direct,rf2_s8__,416
1664,3640.07,384,1377,8,direct,rf4_s16_,416
1664,16003.0,71,254,8,direct,rf4_s2__,416
1664,2120.07,709,835,8,direct,rf4_s32_,416
1664,9908.93,132,369,8,direct,rf4_s4__,416
1664,6614.53,209,492,8,direct,rf4_s8__,416
1664,3230.07,452,1373,8,direct,rf6_s16_,416
1664,15512.07,74,269,8,direct,rf6_s2__,416
1664,1901.2,823,433,8,direct,rf6_s32_,416
1664,10041.6,132,358,8,direct,rf6_s4__,416
1984,3934.07,399,1697,8,direct,rf2_s16_,496
1984,11652.4,134,328,8,direct,rf2_s4__,496
1984,6730.87,242,546,8,direct,rf2_s8__,496
1984,3610.33,474,1546,8,direct,rf4_s16_,496
1984,16264.6,85,279,8,direct,rf4_s2__,496
1984,2184.6,823,420,8,direct,rf4_s32_,496
1984,10472.33,151,395,8,direct,rf4_s4__,496
1984,6668.6,242,585,8,direct,rf4_s8__,496
1984,3165.53,547,1608,8,direct,rf6_s16_,496
1984,15484.6,89,305,8,direct,rf6_s2__,496
1984,1879.67,970,367,8,direct,rf6_s32_,496
1984,10418.4,149,387,8,direct,rf6_s4__,496
2304,4090.6,456,1639,8,direct,rf2_s16_,576
2304,12135.8,146,350,8,direct,rf2_s4__,576
2304,6964.13,266,697,8,direct,rf2_s8__,576
2304,3758.13,528,1591,8,direct,rf4_s16_,576
2304,15956.33,104,307,8,direct,rf4_s2__,576
2304,2013.13,1029,405,8,direct,rf4_s32_,576
2304,10339.13,171,448,8,direct,rf4_s4__,576
2304,6465.6,286,881,8,direct,rf4_s8__,576
2304,3226.4,645,1144,8,direct,rf6_s16_,576
2304,15211.0,110,331,8,direct,rf6_s2__,576
2304,1825.27,1130,485,8,direct,rf6_s32_,576
2304,10119.4,181,443,8,direct,rf6_s4__,576
2624,4228.67,506,1691,8,direct,rf2_s16_,656
2624,11050.13,181,471,8,direct,rf2_s4__,656
2624,6839.07,302,1145,8,direct,rf2_s8__,656
2624,3803.8,609,1115,8,direct,rf4_s16_,656
2624,16105.4,117,339,8,direct,rf4_s2__,656
2624,1607.47,1161,466,8,direct,rf4_s32_,656
2624,10114.8,196,524,8,direct,rf4_s4__,656
2624,6589.13,315,1270,8,direct,rf4_s8__,656
2624,3372.8,707,648,8,direct,rf6_s16_,656
2624,15312.33,128,373,8,direct,rf6_s2__,656
2624,1685.13,1324,566,8,direct,rf6_s32_,656
2624,10248.0,193,492,8,direct,rf6_s4__,656
2944,4110.13,598,954,8,direct,rf2_s16_,736
2944,10947.33,201,514,8,direct,rf2_s4__,736
2944,6454.67,357,1356,8,direct,rf2_s8__,736
2944,3720.8,696,619,8,direct,rf4_s16_,736
2944,15972.6,132,361,8,direct,rf4_s2__,736
2944,1957.53,1309,549,8,direct,rf4_s32_,736
2944,9656.07,229,600,8,direct,rf4_s4__,736
2944,6252.13,367,1487,8,direct,rf4_s8__,736
2944,3274.13,809,436,8,direct,rf6_s16_,736
2944,15285.87,144,431,8,direct,rf6_s2__,736
2944,1653.4,1507,708,8,direct,rf6_s32_,736
2944,9470.6,230,671,8,direct,rf6_s4__,736
3264,4219.4,653,698,8,direct,rf2_s16_,816
3264,10682.67,224,639,8,direct,rf2_s4__,816
3264,6385.4,395,1557,8,direct,rf2_s8__,816
3264,3651.27,776,511,8,direct,rf4_s16_,816
3264,15595.27,146,403,8,direct,rf4_s2__,816
3264,1803.27,1544,634,8,direct,rf4_s32_,816
3264,9651.87,248,837,8,direct,rf4_s4__,816
3264,6186.8,409,1608,8,direct,rf4_s8__,816
3264,3252.87,880,439,8,direct,rf6_s16_,816
3264,14830.27,164,565,8,direct,rf6_s2__,816
3264,1571.8,1720,849,8,direct,rf6_s32_,816
3264,9286.4,259,919,8,direct,rf6_s4__,816
