parallel_requests,QPS,median_lat,tail_lat,clustersize,query,rfshards,
64,1664.2,13,207,8,solrj,rf2_s16_,16
64,4230.93,4,15,8,solrj,rf2_s4__,16
64,2129.0,8,143,8,solrj,rf2_s8__,16
64,1496.87,14,238,8,solrj,rf4_s16_,16
64,3549.47,4,45,8,solrj,rf4_s2__,16
64,471.4,26,790,8,solrj,rf4_s32_,16
64,4469.6,4,22,8,solrj,rf4_s4__,16
64,3632.13,7,110,8,solrj,rf4_s8__,16
64,922.93,17,415,8,solrj,rf6_s16_,16
64,5093.67,4,14,8,solrj,rf6_s2__,16
64,460.53,38,693,8,solrj,rf6_s32_,16
64,3819.8,5,103,8,solrj,rf6_s4__,16
384,956.13,186,2745,8,solrj,rf2_s16_,96
384,4337.07,26,374,8,solrj,rf2_s4__,96
384,1287.4,52,2249,8,solrj,rf2_s8__,96
384,932.87,152,3248,8,solrj,rf4_s16_,96
384,5924.27,10,326,8,solrj,rf4_s2__,96
384,476.4,369,2171,8,solrj,rf4_s32_,96
384,6344.07,21,227,8,solrj,rf4_s4__,96
384,2446.73,39,957,8,solrj,rf4_s8__,96
384,827.4,296,2213,8,solrj,rf6_s16_,96
384,6888.0,9,274,8,solrj,rf6_s2__,96
384,367.47,416,1518,8,solrj,rf6_s32_,96
384,3222.8,31,519,8,solrj,rf6_s4__,96
704,966.87,676,1066,8,solrj,rf2_s16_,176
704,4554.4,64,694,8,solrj,rf2_s4__,176
704,1641.4,157,2869,8,solrj,rf2_s8__,176
704,904.8,364,1798,8,solrj,rf4_s16_,176
704,5657.6,15,833,8,solrj,rf4_s2__,176
704,533.8,452,695,8,solrj,rf4_s32_,176
704,7232.27,44,352,8,solrj,rf4_s4__,176
704,1793.73,113,3004,8,solrj,rf4_s8__,176
704,592.93,489,674,8,solrj,rf6_s16_,176
704,5801.6,14,709,8,solrj,rf6_s2__,176
704,625.2,562,714,8,solrj,rf6_s32_,176
704,2500.27,133,1712,8,solrj,rf6_s4__,176
1024,1439.87,545,1305,8,solrj,rf2_s16_,256
1024,3922.67,82,1851,8,solrj,rf2_s4__,256
1024,1793.6,188,2416,8,solrj,rf2_s8__,256
1024,786.4,486,565,8,solrj,rf4_s16_,256
1024,5384.6,23,1200,8,solrj,rf4_s2__,256
1024,781.0,364,1099,8,solrj,rf4_s32_,256
1024,7283.93,69,579,8,solrj,rf4_s4__,256
1024,2170.6,201,2757,8,solrj,rf4_s8__,256
1024,997.4,662,796,8,solrj,rf6_s16_,256
1024,5420.53,32,1173,8,solrj,rf6_s2__,256
1024,803.6,544,469,8,solrj,rf6_s32_,256
1024,2954.6,238,1488,8,solrj,rf6_s4__,256
1344,1399.87,755,813,8,solrj,rf2_s16_,336
1344,4521.67,176,1346,8,solrj,rf2_s4__,336
1344,1821.73,273,1789,8,solrj,rf2_s8__,336
1344,907.73,1205,303,8,solrj,rf4_s16_,336
1344,5775.27,37,1492,8,solrj,rf4_s2__,336
1344,703.13,338,666,8,solrj,rf4_s32_,336
1344,5205.93,56,1893,8,solrj,rf4_s4__,336
1344,2062.27,255,1987,8,solrj,rf4_s8__,336
1344,1048.13,758,535,8,solrj,rf6_s16_,336
