parallel_requests,QPS,median_lat,tail_lat,clustersize,query,rfshards,
16,17520.4,0,0,1,direct,rf4_s4__,4
16,11685.33,2,8,1,direct,rf4_s8__,4
32,1083.47,19,44,2,direct,rf2_s16_,8
32,2284.8,8,17,2,direct,rf2_s4__,8
32,3062.07,6,14,2,direct,rf2_s8__,8
32,836.87,24,161,2,direct,rf4_s16_,8
32,2740.47,9,14,2,direct,rf4_s2__,8
32,715.27,31,151,2,direct,rf4_s32_,8
32,2326.4,8,21,2,direct,rf4_s4__,8
32,1967.67,10,22,2,direct,rf4_s8__,8
32,1972.67,9,26,2,direct,rf6_s16_,8
32,3940.33,6,10,2,direct,rf6_s2__,8
32,769.13,29,143,2,direct,rf6_s32_,8
32,2306.27,10,16,2,direct,rf6_s4__,8
64,1289.6,30,154,4,direct,rf2_s16_,16
64,5012.27,6,29,4,direct,rf2_s2__,16
64,2294.27,16,91,4,direct,rf2_s4__,16
64,2371.67,16,140,4,direct,rf3_s8__,16
64,1557.0,24,188,4,direct,rf4_s16_,16
64,5287.0,6,20,4,direct,rf4_s2__,16
64,3366.73,10,65,4,direct,rf4_s4__,16
64,2125.07,16,160,4,direct,rf4_s8__,16
64,3168.93,10,88,4,direct,rf6_s4__,16
96,24651.8,2,6,1,direct,rf4_s4__,24
96,12324.47,14,31,1,direct,rf4_s8__,24
176,24405.93,5,12,1,direct,rf4_s4__,44
176,11903.07,22,61,1,direct,rf4_s8__,44
192,1268.53,115,342,2,direct,rf2_s16_,48
192,2476.4,56,217,2,direct,rf2_s4__,48
192,3570.93,38,145,2,direct,rf2_s8__,48
192,882.33,161,479,2,direct,rf4_s16_,48
192,3032.13,52,154,2,direct,rf4_s2__,48
192,688.2,291,748,2,direct,rf4_s32_,48
192,2435.8,58,219,2,direct,rf4_s4__,48
192,2125.67,67,245,2,direct,rf4_s8__,48
192,1987.73,78,288,2,direct,rf6_s16_,48
192,4087.07,38,103,2,direct,rf6_s2__,48
192,797.8,250,590,2,direct,rf6_s32_,48
192,2021.87,80,205,2,direct,rf6_s4__,48
256,23799.87,7,18,1,direct,rf4_s4__,64
256,11644.07,34,101,1,direct,rf4_s8__,64
336,23294.8,10,25,1,direct,rf4_s4__,84
336,11005.8,48,131,1,direct,rf4_s8__,84
352,1165.0,273,660,2,direct,rf2_s16_,88
352,2605.13,107,295,2,direct,rf2_s4__,88
352,3782.0,72,211,2,direct,rf2_s8__,88
352,853.67,345,1156,2,direct,rf4_s16_,88
352,2800.47,62,428,2,direct,rf4_s2__,88
352,643.07,605,544,2,direct,rf4_s32_,88
352,2765.93,101,283,2,direct,rf4_s4__,88
352,2253.67,125,328,2,direct,rf4_s8__,88
352,2011.73,155,425,2,direct,rf6_s16_,88
352,3935.8,39,384,2,direct,rf6_s2__,88
352,768.53,475,1083,2,direct,rf6_s32_,88
352,2135.13,86,151,2,direct,rf6_s4__,88
384,1681.47,199,475,4,direct,rf2_s16_,96
384,7398.27,33,156,4,direct,rf2_s2__,96
384,2986.73,102,360,4,direct,rf2_s4__,96
384,2502.87,116,348,4,direct,rf3_s8__,96
384,1686.0,184,511,4,direct,rf4_s16_,96
384,6889.8,33,189,4,direct,rf4_s2__,96
384,4122.73,64,271,4,direct,rf4_s4__,96
384,2557.73,105,407,4,direct,rf4_s8__,96
384,3310.93,74,324,4,direct,rf6_s4__,96
416,22233.0,12,32,1,direct,rf4_s4__,104
416,10810.73,65,173,1,direct,rf4_s8__,104
496,21355.8,15,39,1,direct,rf4_s4__,124
496,10484.4,83,226,1,direct,rf4_s8__,124
512,1081.07,377,1347,2,direct,rf2_s16_,128
512,2701.0,154,395,2,direct,rf2_s4__,128
512,3187.8,122,373,2,direct,rf2_s8__,128
512,837.33,518,1400,2,direct,rf4_s16_,128
512,2825.8,98,752,2,direct,rf4_s2__,128
512,625.47,914,745,2,direct,rf4_s32_,128
512,3099.6,133,336,2,direct,rf4_s4__,128
512,2199.27,196,464,2,direct,rf4_s8__,128
512,1895.4,234,552,2,direct,rf6_s16_,128
512,3858.67,90,141,2,direct,rf6_s2__,128
512,802.07,620,854,2,direct,rf6_s32_,128
512,2021.13,166,272,2,direct,rf6_s4__,128
576,20505.6,17,50,1,direct,rf4_s4__,144
576,10228.87,97,331,1,direct,rf4_s8__,144
656,19184.67,20,59,1,direct,rf4_s4__,164
656,10064.53,109,484,1,direct,rf4_s8__,164
672,1021.2,511,1265,2,direct,rf2_s16_,168
672,2838.67,198,455,2,direct,rf2_s4__,168
672,2970.53,149,676,2,direct,rf2_s8__,168
672,860.07,672,849,2,direct,rf4_s16_,168
672,2671.6,155,1176,2,direct,rf4_s2__,168
672,658.8,1021,403,2,direct,rf4_s32_,168
