parallel_requests,QPS,median_lat,tail_lat,clustersize,query,rfshards,
16,17520.4,0,0,1,direct,rf4_s4__,4
32,2326.4,8,21,2,direct,rf4_s4__,8
64,3366.73,10,65,4,direct,rf4_s4__,16
96,24651.8,2,6,1,direct,rf4_s4__,24
176,24405.93,5,12,1,direct,rf4_s4__,44
192,2435.8,58,219,2,direct,rf4_s4__,48
256,23799.87,7,18,1,direct,rf4_s4__,64
336,23294.8,10,25,1,direct,rf4_s4__,84
352,2765.93,101,283,2,direct,rf4_s4__,88
384,4122.73,64,271,4,direct,rf4_s4__,96
416,22233.0,12,32,1,direct,rf4_s4__,104
496,21355.8,15,39,1,direct,rf4_s4__,124
512,3099.6,133,336,2,direct,rf4_s4__,128
576,20505.6,17,50,1,direct,rf4_s4__,144
656,19184.67,20,59,1,direct,rf4_s4__,164
672,2651.6,209,503,2,direct,rf4_s4__,168
704,4732.07,123,353,4,direct,rf4_s4__,176
736,19369.6,23,66,1,direct,rf4_s4__,184
816,16939.27,26,83,1,direct,rf4_s4__,204
832,2673.67,260,654,2,direct,rf4_s4__,208
992,2436.0,337,1321,2,direct,rf4_s4__,248
1024,5162.87,172,451,4,direct,rf4_s4__,256
1152,2506.53,374,1519,2,direct,rf4_s4__,288
1312,2316.2,455,1496,2,direct,rf4_s4__,328
1344,5166.47,221,566,4,direct,rf4_s4__,336
1472,2202.2,516,1303,2,direct,rf4_s4__,368
1632,2193.93,553,861,2,direct,rf4_s4__,408
1664,5079.73,268,675,4,direct,rf4_s4__,416
1984,5055.67,322,1055,4,direct,rf4_s4__,496
2304,4854.07,391,1378,4,direct,rf4_s4__,576
2624,4633.8,465,1598,4,direct,rf4_s4__,656
2944,4706.73,526,1357,4,direct,rf4_s4__,736
3264,4588.07,598,855,4,direct,rf4_s4__,816
