parallel_requests,QPS,median_lat,tail_lat,clustersize,query,rfshards
704,69801.6,7,19,16,direct,rf16_s1_
1024,72511.6,10,30,16,direct,rf16_s1_
64,23852.1,1,3,16,direct,rf16_s1_
1344,79347.4,12,38,16,direct,rf16_s1_
1664,86051.0,14,44,16,direct,rf16_s1_
384,103569.9,1,6,16,direct,rf16_s1_
704,6444.6,93,251,16,direct,rf2_s16_
1024,7490.9,126,289,16,direct,rf2_s16_
64,3404.9,6,135,16,direct,rf2_s16_
1344,8261.8,155,325,16,direct,rf2_s16_
1664,8060.9,193,395,16,direct,rf2_s16_
384,4861.3,43,224,16,direct,rf2_s16_
704,6327.3,82,291,16,direct,rf4_s16_
1024,6728.3,130,340,16,direct,rf4_s16_
64,2379.7,11,150,16,direct,rf4_s16_
1344,7203.0,173,394,16,direct,rf4_s16_
1664,6730.1,227,482,16,direct,rf4_s16_
384,5430.0,40,219,16,direct,rf4_s16_
704,23801.1,12,125,16,direct,rf8_s2__
1024,27093.4,17,142,16,direct,rf8_s2__
64,7378.8,4,13,16,direct,rf8_s2__
1344,28728.6,24,160,16,direct,rf8_s2__
1664,31190.9,30,177,16,direct,rf8_s2__
384,18848.5,6,112,16,direct,rf8_s2__
