parallel_requests,QPS,median_lat,tail_lat,clustersize,query,rfshards
704,42853.6,3,86,16,solrj,rf16_s1_
1024,38624.1,3,175,16,solrj,rf16_s1_
64,16935.9,1,5,16,solrj,rf16_s1_
1344,35492.6,3,274,16,solrj,rf16_s1_
1664,34832.5,4,357,16,solrj,rf16_s1_
384,37585.5,2,17,16,solrj,rf16_s1_
704,3285.1,87,1436,16,solrj,rf2_s16_
1024,3256.0,130,2705,16,solrj,rf2_s16_
64,3729.1,6,105,16,solrj,rf2_s16_
1344,2646.4,231,1419,16,solrj,rf2_s16_
1664,2439.3,394,561,16,solrj,rf2_s16_
384,4177.5,50,257,16,solrj,rf2_s16_
704,2988.6,94,2215,16,solrj,rf4_s16_
1024,3758.7,160,2113,16,solrj,rf4_s16_
64,3187.7,7,123,16,solrj,rf4_s16_
1344,2344.4,295,998,16,solrj,rf4_s16_
1664,1374.1,1207,714,16,solrj,rf4_s16_
384,3720.1,68,296,16,solrj,rf4_s16_
704,16674.4,6,211,16,solrj,rf8_s2__
1024,18727.2,10,251,16,solrj,rf8_s2__
64,6669.0,4,13,16,solrj,rf8_s2__
1344,20563.6,15,276,16,solrj,rf8_s2__
1664,21710.3,24,303,16,solrj,rf8_s2__
384,14192.1,5,153,16,solrj,rf8_s2__
