parallel_requests,QPS,median_lat,tail_lat,clustersize,query,rfshards
88,3475.3,15,36,2,direct,rf1_s2__
128,3489.2,23,86,2,direct,rf1_s2__
8,1470.3,3,6,2,direct,rf1_s2__
168,4144.9,30,91,2,direct,rf1_s2__
208,3550.7,38,104,2,direct,rf1_s2__
48,3954.2,8,16,2,direct,rf1_s2__
88,1149.0,58,177,2,direct,rf2_s16_
128,1197.0,83,222,2,direct,rf2_s16_
8,978.9,5,10,2,direct,rf2_s16_
168,1143.2,123,306,2,direct,rf2_s16_
208,1088.3,162,394,2,direct,rf2_s16_
48,1020.6,34,110,2,direct,rf2_s16_
88,9642.4,6,15,2,direct,rf2_s1__
128,9797.7,9,23,2,direct,rf2_s1__
8,2877.0,1,3,2,direct,rf2_s1__
168,9804.9,12,32,2,direct,rf2_s1__
208,9778.1,15,41,2,direct,rf2_s1__
48,10027.1,3,6,2,direct,rf2_s1__
88,902.3,63,251,2,direct,rf4_s16_
128,960.2,87,300,2,direct,rf4_s16_
8,693.1,6,19,2,direct,rf4_s16_
168,900.2,112,359,2,direct,rf4_s16_
208,965.1,153,449,2,direct,rf4_s16_
48,781.1,33,191,2,direct,rf4_s16_
