parallel_requests,QPS,median_lat,tail_lat,clustersize,query,rfshards
176,1812.4,69,224,4,direct,rf2_s16_
256,1895.6,104,304,4,direct,rf2_s16_
16,1641.3,5,10,4,direct,rf2_s16_
336,2066.8,130,331,4,direct,rf2_s16_
416,1998.2,176,411,4,direct,rf2_s16_
96,1688.4,35,187,4,direct,rf2_s16_
176,7290.9,16,83,4,direct,rf2_s2__
256,7670.1,23,101,4,direct,rf2_s2__
16,2651.3,3,6,4,direct,rf2_s2__
336,7628.8,30,122,4,direct,rf2_s2__
416,6212.9,37,145,4,direct,rf2_s2__
96,6537.0,8,21,4,direct,rf2_s2__
176,1366.0,85,278,4,direct,rf4_s16_
256,1400.4,149,364,4,direct,rf4_s16_
16,1113.1,7,26,4,direct,rf4_s16_
336,1555.0,180,420,4,direct,rf4_s16_
416,1655.4,200,549,4,direct,rf4_s16_
96,1378.4,41,196,4,direct,rf4_s16_
176,23834.1,5,11,4,direct,rf4_s1__
256,23665.4,8,18,4,direct,rf4_s1__
16,5457.5,1,4,4,direct,rf4_s1__
336,23962.9,10,24,4,direct,rf4_s1__
416,24440.0,13,31,4,direct,rf4_s1__
96,22779.6,2,5,4,direct,rf4_s1__
