parallel_requests,QPS,median_lat,tail_lat,clustersize,query,rfshards
176,0.0,0,0,4,solrj,rf2_s16_
256,0.0,0,0,4,solrj,rf2_s16_
16,0.0,0,0,4,solrj,rf2_s16_
336,0.0,0,0,4,solrj,rf2_s16_
416,0.0,0,0,4,solrj,rf2_s16_
96,0.0,0,0,4,solrj,rf2_s16_
176,0.0,0,0,4,solrj,rf2_s2__
256,0.0,0,0,4,solrj,rf2_s2__
16,0.0,0,0,4,solrj,rf2_s2__
336,0.0,0,0,4,solrj,rf2_s2__
416,0.0,0,0,4,solrj,rf2_s2__
96,0.0,0,0,4,solrj,rf2_s2__
176,3531.4,39,74,4,solrj,rf4_s16_
256,3465.7,61,109,4,solrj,rf4_s16_
16,5692.7,2,4,4,solrj,rf4_s16_
336,3489.7,20,38,4,solrj,rf4_s16_
416,0.0,0,0,4,solrj,rf4_s16_
96,3554.8,23,41,4,solrj,rf4_s16_
176,0.0,0,0,4,solrj,rf4_s1__
256,0.0,0,0,4,solrj,rf4_s1__
16,0.0,0,0,4,solrj,rf4_s1__
336,0.0,0,0,4,solrj,rf4_s1__
416,0.0,0,0,4,solrj,rf4_s1__
96,0.0,0,0,4,solrj,rf4_s1__
