parallel_requests,QPS,median_lat,tail_lat,clustersize,query,rfshards
176,1764.8,64,305,4,solrj,rf2_s16_
256,1827.4,94,403,4,solrj,rf2_s16_
16,1520.5,5,11,4,solrj,rf2_s16_
336,1533.4,153,675,4,solrj,rf2_s16_
416,1129.1,169,1721,4,solrj,rf2_s16_
96,1707.5,32,165,4,solrj,rf2_s16_
176,1415.9,77,351,4,solrj,rf4_s16_
256,1289.0,119,668,4,solrj,rf4_s16_
16,1328.4,6,12,4,solrj,rf4_s16_
336,1499.1,169,571,4,solrj,rf4_s16_
416,1100.2,218,1734,4,solrj,rf4_s16_
96,1433.1,38,200,4,solrj,rf4_s16_
176,18046.8,3,25,4,solrj,rf4_s1__
256,18279.3,5,39,4,solrj,rf4_s1__
16,4258.8,1,4,4,solrj,rf4_s1__
336,18317.9,8,64,4,solrj,rf4_s1__
416,18957.2,9,85,4,solrj,rf4_s1__
96,16621.6,2,12,4,solrj,rf4_s1__
