parallel_requests,QPS,median_lat,tail_lat,clustersize,query,rfshards
352,3063.6,98,235,8,direct,rf2_s16_
512,3489.4,137,285,8,direct,rf2_s16_
32,2135.1,6,47,8,direct,rf2_s16_
672,3666.1,166,349,8,direct,rf2_s16_
832,3774.1,196,418,8,direct,rf2_s16_
192,2710.6,40,183,8,direct,rf2_s16_
352,2988.4,80,291,8,direct,rf4_s16_
512,2956.8,135,384,8,direct,rf4_s16_
32,2004.2,7,56,8,direct,rf4_s16_
672,3293.4,165,433,8,direct,rf4_s16_
832,3408.0,206,492,8,direct,rf4_s16_
192,2716.4,40,185,8,direct,rf4_s16_
352,12016.1,13,121,8,direct,rf4_s2__
512,13792.3,16,131,8,direct,rf4_s2__
32,4321.9,4,8,8,direct,rf4_s2__
672,14845.2,23,142,8,direct,rf4_s2__
832,15737.7,30,164,8,direct,rf4_s2__
192,10064.4,8,107,8,direct,rf4_s2__
352,57607.1,3,12,8,direct,rf8_s1__
512,59301.6,4,20,8,direct,rf8_s1__
32,11189.8,1,4,8,direct,rf8_s1__
672,59984.6,6,30,8,direct,rf8_s1__
832,60309.6,7,41,8,direct,rf8_s1__
192,51580.1,1,5,8,direct,rf8_s1__
