parallel_requests,QPS,median_lat,tail_lat,clustersize,query,rfshards
704,71627.0,7,19,16,direct,rf16_s1_
1024,72680.1,10,30,16,direct,rf16_s1_
64,22607.8,1,4,16,direct,rf16_s1_
1344,79867.1,12,37,16,direct,rf16_s1_
1664,75910.4,16,52,16,direct,rf16_s1_
384,100497.4,1,6,16,direct,rf16_s1_
704,5753.3,111,273,16,direct,rf2_s16_
1024,6769.9,139,308,16,direct,rf2_s16_
64,3223.8,6,145,16,direct,rf2_s16_
1344,7582.6,169,355,16,direct,rf2_s16_
1664,7690.2,203,407,16,direct,rf2_s16_
384,4112.9,52,251,16,direct,rf2_s16_
704,5654.6,114,293,16,direct,rf4_s16_
1024,6326.2,155,336,16,direct,rf4_s16_
64,1979.6,11,196,16,direct,rf4_s16_
1344,6808.4,189,396,16,direct,rf4_s16_
1664,6570.7,236,480,16,direct,rf4_s16_
384,4626.9,51,237,16,direct,rf4_s16_
704,17560.9,8,216,16,direct,rf8_s2__
1024,20646.0,12,247,16,direct,rf8_s2__
64,5658.3,5,19,16,direct,rf8_s2__
1344,22441.9,18,265,16,direct,rf8_s2__
1664,23903.2,24,290,16,direct,rf8_s2__
384,15192.4,7,142,16,direct,rf8_s2__
