parallel_requests,QPS,median_lat,tail_lat,clustersize,query,rfshards
640,141844.2,3,20,16,direct,rf16_s1_
960,142986.1,5,35,16,direct,rf16_s1_
1280,144116.9,6,53,16,direct,rf16_s1_
1600,144375.0,7,72,16,direct,rf16_s1_
1920,130452.8,11,85,16,direct,rf16_s1_
320,103979.0,2,11,16,direct,rf16_s1_
640,135987.2,4,20,16,direct,rf32_s1_
960,137425.8,5,37,16,direct,rf32_s1_
1280,140946.9,6,53,16,direct,rf32_s1_
1600,141325.0,7,72,16,direct,rf32_s1_
1920,116185.0,21,68,16,direct,rf32_s1_
2240,116146.3,24,81,16,direct,rf32_s1_
2560,128193.6,25,82,16,direct,rf32_s1_
2880,140767.8,11,159,16,direct,rf32_s1_
320,123266.0,2,8,16,direct,rf32_s1_
