parallel_requests,QPS,median_lat,tail_lat,clustersize,query,rfshards
640,51045.1,2,71,16,solrj,rf16_s1_
768,46856.8,2,104,16,solrj,rf16_s1_
128,31663.1,1,8,16,solrj,rf16_s1_
256,44998.3,2,10,16,solrj,rf16_s1_
384,50702.5,2,23,16,solrj,rf16_s1_
512,54535.1,2,43,16,solrj,rf16_s1_
640,18146.6,6,189,16,solrj,rf16_s2_
768,19648.3,7,197,16,solrj,rf16_s2_
128,10737.0,4,81,16,solrj,rf16_s2_
256,13122.9,5,125,16,solrj,rf16_s2_
384,15505.9,5,147,16,solrj,rf16_s2_
512,17678.5,6,169,16,solrj,rf16_s2_
640,53231.9,2,64,16,solrj,rf32_s1_
768,47173.6,2,102,16,solrj,rf32_s1_
128,35004.4,1,6,16,solrj,rf32_s1_
256,43214.8,2,10,16,solrj,rf32_s1_
384,50146.3,2,23,16,solrj,rf32_s1_
512,52965.6,2,42,16,solrj,rf32_s1_
640,14854.8,10,191,16,solrj,rf4_s4__
768,16574.9,11,218,16,solrj,rf4_s4__
128,10881.8,4,84,16,solrj,rf4_s4__
256,12269.9,6,121,16,solrj,rf4_s4__
384,14006.5,7,142,16,solrj,rf4_s4__
512,14414.8,8,175,16,solrj,rf4_s4__
640,23678.8,6,137,16,solrj,rf8_s2__
768,24998.6,7,150,16,solrj,rf8_s2__
128,16386.7,3,16,16,solrj,rf8_s2__
256,20089.1,4,83,16,solrj,rf8_s2__
384,22128.1,5,99,16,solrj,rf8_s2__
512,22880.7,5,119,16,solrj,rf8_s2__
640,13986.9,11,213,16,solrj,rf8_s4__
768,15020.2,13,223,16,solrj,rf8_s4__
128,9481.4,5,92,16,solrj,rf8_s4__
256,9437.4,6,151,16,solrj,rf8_s4__
384,12135.9,7,169,16,solrj,rf8_s4__
512,12841.8,10,189,16,solrj,rf8_s4__
