parallel_requests,QPS,median_lat,tail_lat,clustersize,query,rfshards
16,1780.0,6,9,2,direct,rf0_s4__
80,4676.4,13,30,2,direct,rf1_s2__
96,4773.4,15,37,2,direct,rf1_s2__
16,2988.2,3,9,2,direct,rf1_s2__
32,4105.8,4,9,2,direct,rf1_s2__
48,4500.6,8,17,2,direct,rf1_s2__
64,4677.6,10,23,2,direct,rf1_s2__
80,10250.1,6,14,2,direct,rf2_s1__
96,10147.6,7,17,2,direct,rf2_s1__
16,5434.7,1,4,2,direct,rf2_s1__
32,10297.2,1,4,2,direct,rf2_s1__
48,10628.4,3,7,2,direct,rf2_s1__
64,10185.9,4,10,2,direct,rf2_s1__
80,3459.7,13,46,2,direct,rf2_s2__
96,3156.8,16,61,2,direct,rf2_s2__
16,2841.7,3,6,2,direct,rf2_s2__
32,3537.2,5,11,2,direct,rf2_s2__
48,3454.4,8,20,2,direct,rf2_s2__
64,2974.4,10,28,2,direct,rf2_s2__
80,10262.6,6,14,2,direct,rf4_s1__
96,10247.6,7,17,2,direct,rf4_s1__
16,5753.4,1,3,2,direct,rf4_s1__
32,10274.0,1,4,2,direct,rf4_s1__
48,10611.7,3,7,2,direct,rf4_s1__
64,10200.5,4,10,2,direct,rf4_s1__
