parallel_requests,QPS,median_lat,tail_lat,clustersize,query,rfshards
88,4379.9,14,33,2,solrj,rf1_s2__
128,4353.7,21,73,2,solrj,rf1_s2__
8,1518.7,3,6,2,solrj,rf1_s2__
168,4426.1,27,94,2,solrj,rf1_s2__
208,3304.3,34,99,2,solrj,rf1_s2__
48,4387.4,7,15,2,solrj,rf1_s2__
88,1103.7,59,179,2,solrj,rf2_s16_
128,999.9,77,350,2,solrj,rf2_s16_
8,1054.3,5,8,2,solrj,rf2_s16_
168,942.4,94,534,2,solrj,rf2_s16_
208,936.7,122,647,2,solrj,rf2_s16_
48,1064.9,34,98,2,solrj,rf2_s16_
88,13591.8,3,14,2,solrj,rf2_s1__
128,13098.0,5,19,2,solrj,rf2_s1__
8,2192.8,2,4,2,solrj,rf2_s1__
168,13582.8,7,25,2,solrj,rf2_s1__
208,13834.8,9,31,2,solrj,rf2_s1__
48,13061.8,1,5,2,solrj,rf2_s1__
88,966.6,61,224,2,solrj,rf4_s16_
128,1002.9,88,285,2,solrj,rf4_s16_
8,840.2,5,9,2,solrj,rf4_s16_
168,923.6,126,478,2,solrj,rf4_s16_
208,909.5,174,603,2,solrj,rf4_s16_
48,1023.2,30,169,2,solrj,rf4_s16_
