parallel_requests,QPS,median_lat,tail_lat,clustersize,query,rfshards
80,3734.5,12,28,2,solrj,rf1_s2__
96,4803.5,15,44,2,solrj,rf1_s2__
16,3556.3,3,5,2,solrj,rf1_s2__
32,4797.2,4,9,2,solrj,rf1_s2__
48,4999.3,7,15,2,solrj,rf1_s2__
64,4869.6,9,22,2,solrj,rf1_s2__
80,15316.7,2,12,2,solrj,rf2_s1__
96,15360.8,3,14,2,solrj,rf2_s1__
16,5182.7,1,4,2,solrj,rf2_s1__
32,10798.8,1,4,2,solrj,rf2_s1__
48,14598.9,1,5,2,solrj,rf2_s1__
64,15589.2,2,7,2,solrj,rf2_s1__
80,3106.9,13,52,2,solrj,rf2_s2__
96,4003.8,15,47,2,solrj,rf2_s2__
16,2906.6,3,5,2,solrj,rf2_s2__
32,3930.2,4,10,2,solrj,rf2_s2__
48,4362.9,7,14,2,solrj,rf2_s2__
64,4138.7,9,21,2,solrj,rf2_s2__
80,15471.4,2,12,2,solrj,rf4_s1__
96,15714.2,3,13,2,solrj,rf4_s1__
16,5272.9,1,4,2,solrj,rf4_s1__
32,10778.9,1,4,2,solrj,rf4_s1__
48,14746.1,1,4,2,solrj,rf4_s1__
64,15949.4,2,7,2,solrj,rf4_s1__
