parallel_requests,QPS,median_lat,tail_lat,clustersize,query,rfshards
176,4136.2,38,1241,32,solrj,rf2_s16_
256,4677.0,77,1514,32,solrj,rf2_s16_
16,2944.67,5,119,32,solrj,rf2_s16_
336,4663.53,86,2540,32,solrj,rf2_s16_
416,4272.27,130,2979,32,solrj,rf2_s16_
496,4731.67,190,2757,32,solrj,rf2_s16_
576,3895.93,204,2556,32,solrj,rf2_s16_
656,5075.13,210,2699,32,solrj,rf2_s16_
736,4760.73,288,2280,32,solrj,rf2_s16_
96,3854.67,18,473,32,solrj,rf2_s16_
176,4134.33,29,1164,32,solrj,rf2_s4__
256,5117.2,38,1459,32,solrj,rf2_s4__
16,5063.8,4,27,32,solrj,rf2_s4__
336,4107.93,60,2275,32,solrj,rf2_s4__
416,4645.67,110,2691,32,solrj,rf2_s4__
496,3030.07,275,2495,32,solrj,rf2_s4__
576,3369.87,320,1974,32,solrj,rf2_s4__
656,4020.0,285,2107,32,solrj,rf2_s4__
736,4238.6,315,1795,32,solrj,rf2_s4__
96,3971.07,15,641,32,solrj,rf2_s4__
