parallel_requests,QPS,median_lat,tail_lat,clustersize,query,rfshards,
64,2857.8,5,116,32,solrj,rf2_s16_,16
64,4997.8,4,19,32,solrj,rf2_s4__,16
64,5609.53,3,14,32,solrj,rf4_s4__,16
384,3823.6,16,453,32,solrj,rf2_s16_,96
384,4557.93,16,525,32,solrj,rf2_s4__,96
384,8494.13,6,204,32,solrj,rf4_s4__,96
704,4078.87,39,1172,32,solrj,rf2_s16_,176
704,5394.87,31,690,32,solrj,rf2_s4__,176
704,7812.2,8,563,32,solrj,rf4_s4__,176
1024,4650.27,96,1288,32,solrj,rf2_s16_,256
1024,4644.73,64,1343,32,solrj,rf2_s4__,256
1024,7707.6,12,975,32,solrj,rf4_s4__,256
1344,4557.0,98,2207,32,solrj,rf2_s16_,336
1344,4092.87,77,2279,32,solrj,rf2_s4__,336
1344,7363.93,15,1522,32,solrj,rf4_s4__,336
1664,4238.87,134,2877,32,solrj,rf2_s16_,416
1664,3595.67,127,2577,32,solrj,rf2_s4__,416
1664,7465.53,28,1774,32,solrj,rf4_s4__,416
1984,4490.73,169,2776,32,solrj,rf2_s16_,496
1984,3760.73,150,2717,32,solrj,rf2_s4__,496
1984,6319.13,44,2765,32,solrj,rf4_s4__,496
2304,3723.8,258,2276,32,solrj,rf2_s16_,576
2304,4017.93,221,2433,32,solrj,rf2_s4__,576
2304,6501.93,56,2757,32,solrj,rf4_s4__,576
2624,5289.87,193,2974,32,solrj,rf2_s16_,656
2624,4481.13,246,2002,32,solrj,rf2_s4__,656
2624,6858.8,84,3002,32,solrj,rf4_s4__,656
2944,5144.67,235,2396,32,solrj,rf2_s16_,736
2944,4036.87,324,1872,32,solrj,rf2_s4__,736
2944,6372.0,98,2735,32,solrj,rf4_s4__,736
