parallel_requests,QPS,median_lat,tail_lat,clustersize,query,rfshards
176,1589.8,69,295,4,direct,rf2_s16_
256,2064.1,94,294,4,direct,rf2_s16_
16,1528.5,5,12,4,direct,rf2_s16_
336,1837.8,130,402,4,direct,rf2_s16_
416,2139.6,155,430,4,direct,rf2_s16_
96,1642.5,35,204,4,direct,rf2_s16_
16,3374.4,2,3,4,direct,rf2_s2__
96,4894.2,13,38,4,direct,rf2_s2__
176,1445.7,78,307,4,direct,rf4_s16_
256,1535.1,109,378,4,direct,rf4_s16_
16,1133.0,7,27,4,direct,rf4_s16_
336,1620.9,163,438,4,direct,rf4_s16_
416,1932.4,170,473,4,direct,rf4_s16_
96,1489.2,41,179,4,direct,rf4_s16_
176,18900.4,5,19,4,direct,rf4_s1__
256,18542.4,7,33,4,direct,rf4_s1__
16,4710.2,2,4,4,direct,rf4_s1__
336,18647.1,9,51,4,direct,rf4_s1__
416,19382.9,11,67,4,direct,rf4_s1__
96,17471.3,3,9,4,direct,rf4_s1__
