parallel_requests,QPS,median_lat,tail_lat,clustersize,query,rfshards
352,73040.1,4,20,8,direct,rf16_s1_
448,73926.0,5,29,8,direct,rf16_s1_
544,73829.0,5,38,8,direct,rf16_s1_
640,73595.5,6,48,8,direct,rf16_s1_
736,73896.1,7,58,8,direct,rf16_s1_
64,36228.4,1,3,8,direct,rf16_s1_
160,61417.8,2,7,8,direct,rf16_s1_
256,71858.7,3,12,8,direct,rf16_s1_
352,79778.1,3,18,8,direct,rf8_s1__
448,79630.6,4,26,8,direct,rf8_s1__
544,79987.7,5,35,8,direct,rf8_s1__
640,80198.2,6,43,8,direct,rf8_s1__
736,81354.2,6,52,8,direct,rf8_s1__
64,35754.7,1,4,8,direct,rf8_s1__
160,65166.8,2,6,8,direct,rf8_s1__
256,77586.3,2,11,8,direct,rf8_s1__
