parallel_requests,QPS,median_lat,tail_lat,clustersize,query,rfshards
320,39629.4,2,34,94,solrj,rf4_s1__
352,39651.4,2,38,94,solrj,rf4_s1__
384,39902.5,2,42,94,solrj,rf4_s1__
416,40207.2,3,46,94,solrj,rf4_s1__
448,40357.9,3,48,94,solrj,rf4_s1__
480,40199.8,3,54,94,solrj,rf4_s1__
512,40314.2,4,56,94,solrj,rf4_s1__
544,39393.5,4,63,94,solrj,rf4_s1__
576,40094.6,5,63,94,solrj,rf4_s1__
608,40492.9,5,66,94,solrj,rf4_s1__
32,14699.2,0,4,94,solrj,rf4_s1__
640,39927.1,6,70,94,solrj,rf4_s1__
64,31213.1,0,4,94,solrj,rf4_s1__
96,32210.0,0,7,94,solrj,rf4_s1__
128,32319.2,1,11,94,solrj,rf4_s1__
160,35766.6,1,14,94,solrj,rf4_s1__
192,35909.9,1,18,94,solrj,rf4_s1__
224,39167.5,1,22,94,solrj,rf4_s1__
256,39024.7,2,27,94,solrj,rf4_s1__
288,39728.4,2,30,94,solrj,rf4_s1__
