parallel_requests,QPS,median_lat,tail_lat,clustersize,query,rfshards
320,39673.7,2,33,94,solrj,rf4_s1__
352,39278.3,2,39,94,solrj,rf4_s1__
384,40529.4,2,41,94,solrj,rf4_s1__
416,40737.2,3,45,94,solrj,rf4_s1__
448,40148.8,3,51,94,solrj,rf4_s1__
480,40401.7,3,52,94,solrj,rf4_s1__
512,40120.9,4,58,94,solrj,rf4_s1__
544,40295.1,4,60,94,solrj,rf4_s1__
576,40003.9,4,65,94,solrj,rf4_s1__
608,39845.5,5,71,94,solrj,rf4_s1__
32,15225.7,0,4,94,solrj,rf4_s1__
640,40682.5,5,70,94,solrj,rf4_s1__
64,31694.4,0,4,94,solrj,rf4_s1__
96,34284.9,0,7,94,solrj,rf4_s1__
128,37550.2,1,10,94,solrj,rf4_s1__
160,37613.7,1,14,94,solrj,rf4_s1__
192,32562.3,1,19,94,solrj,rf4_s1__
224,39042.9,1,22,94,solrj,rf4_s1__
256,39720.1,1,26,94,solrj,rf4_s1__
288,40389.6,2,29,94,solrj,rf4_s1__
