"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node-32.36-intel-s-cloud.uic-cs-edu-pg0.utah.cloudlab.us",,,,"User:","dporte7"
"Cmdline:","dstat -t --cpu --mem --disk --io --net --int --sys --swap --tcp --output dstatoutput_load_gen_again.csv",,,,"Date:","17 Oct 2019 12:50:09 MDT"
"system","total cpu usage",,,,,"memory usage",,,,"dsk/total",,"io/total",,"net/total",,"interrupts",,,"system",,"swap",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","read","writ","read","writ","recv","send","77","78","79","int","csw","used","free","lis","act","syn","tim","clo"
17-10 12:50:09,5.330,0.791,93.877,0.002,0,699625472,65107849216,191016960,1238749184,724.833,136323.781,0.053,5.411,0,0,34.197,34.487,34.314,1102.582,6525.158,0,3221221376,10,9,0,0,0,
17-10 12:50:10,0,0.125,99.875,0,0,699695104,65107775488,191016960,1238753280,0,0,0,0,543,1244,0,0,3,93,158,0,3221221376,10,9,0,0,0,
17-10 12:50:11,0,0.063,99.937,0,0,699695104,65107775488,191016960,1238753280,0,0,0,0,1036,414,0,0,0,108,183,0,3221221376,10,9,0,0,0,
17-10 12:50:12,0.062,0.062,99.875,0,0,699695104,65107775488,191016960,1238753280,0,0,0,0,305,414,0,0,0,92,161,0,3221221376,10,9,0,0,0,
17-10 12:50:13,0,0.063,99.937,0,0,699695104,65107775488,191016960,1238753280,0,0,0,0,306,414,0,0,0,77,135,0,3221221376,10,9,0,0,0,
17-10 12:50:14,0.062,0.062,99.875,0,0,699695104,65107775488,191016960,1238753280,0,0,0,0,717,644,0,0,3,89,148,0,3221221376,10,9,0,0,0,
17-10 12:50:15,0,0.062,99.875,0.062,0,699695104,65107775488,191016960,1238753280,0,73728,0,6,186,414,0,0,0,121,185,0,3221221376,10,9,0,0,0,
17-10 12:50:16,0.062,0.062,99.875,0,0,699695104,65107775488,191016960,1238753280,0,0,0,0,425,430,0,0,0,81,137,0,3221221376,10,9,0,0,0,
17-10 12:50:17,0.062,0.062,99.875,0,0,699822080,65107648512,191016960,1238753280,0,0,0,0,750,612,0,0,3,100,220,0,3221221376,10,8,0,0,0,
17-10 12:50:18,0.125,0.062,99.812,0,0,699822080,65107648512,191016960,1238753280,0,0,0,0,605,682,0,0,2,106,216,0,3221221376,10,8,0,0,0,
17-10 12:50:19,0,0.063,99.937,0,0,699822080,65107648512,191016960,1238753280,0,0,0,0,306,414,0,0,0,97,173,0,3221221376,10,8,0,0,0,
17-10 12:50:20,0,0.062,99.938,0,0,699822080,65107648512,191016960,1238753280,0,0,0,0,485,548,0,0,1,94,155,0,3221221376,10,8,0,0,0,
17-10 12:50:21,0,0.063,99.937,0,0,699822080,65107648512,191016960,1238753280,0,24576,0,4,941,682,1,0,0,118,204,0,3221221376,10,8,0,0,0,
17-10 12:50:22,0.062,0.062,99.875,0,0,699822080,65107648512,191016960,1238753280,0,0,0,0,785,624,0,0,0,106,195,0,3221221376,10,8,0,0,0,
17-10 12:50:23,0.062,0.062,99.875,0,0,699822080,65107648512,191016960,1238753280,0,0,0,0,906,922,0,0,3,136,237,0,3221221376,10,8,0,0,0,
17-10 12:50:24,0,0.063,99.937,0,0,699822080,65107648512,191016960,1238753280,0,0,0,0,425,828,0,0,0,82,137,0,3221221376,10,8,0,0,0,
17-10 12:50:25,0,0.063,99.937,0,0,699822080,65107648512,191016960,1238753280,0,0,0,0,546,548,0,1,1,93,155,0,3221221376,10,8,0,0,0,
17-10 12:50:26,0,0.063,99.937,0,0,699789312,65107681280,191016960,1238753280,0,0,0,0,1000,548,0,0,0,127,189,0,3221221376,10,8,0,0,0,
17-10 12:50:27,0.062,0.062,99.875,0,0,699789312,65107681280,191016960,1238753280,0,24576,0,4,486,548,0,1,0,115,222,0,3221221376,10,8,0,0,0,
17-10 12:50:28,0.062,0.125,99.813,0,0,699789312,65107681280,191016960,1238753280,0,49152,0,2,725,564,0,0,1,109,164,0,3221221376,10,8,0,0,0,
17-10 12:50:29,0,0,100,0,0,699789312,65107681280,191016960,1238753280,0,0,0,0,486,564,0,0,2,88,178,0,3221221376,10,8,0,0,0,
17-10 12:50:30,0.125,0.062,99.813,0,0,699789312,65107681280,191016960,1238753280,0,0,0,0,605,548,0,0,1,100,187,0,3221221376,10,8,0,0,0,
17-10 12:50:31,0,0.063,99.937,0,0,699789312,65107681280,191016960,1238753280,0,0,0,0,820,414,0,0,0,103,173,0,3221221376,10,8,0,0,0,
17-10 12:50:32,0.062,0.125,99.813,0,0,699789312,65107681280,191016960,1238753280,0,0,0,0,1857,682,0,0,0,146,205,0,3221221376,10,8,0,0,0,
17-10 12:50:33,0,0.062,99.875,0.062,0,699789312,65107681280,191016960,1238753280,0,557056,0,116,366,548,0,0,0,155,167,0,3221221376,10,8,0,0,0,
17-10 12:50:34,0.062,0.062,99.875,0,0,699789312,65107681280,191016960,1238753280,0,0,0,0,605,430,0,0,0,99,155,0,3221221376,10,8,0,0,0,
17-10 12:50:35,0,0.063,99.937,0,0,699785216,65107681280,191016960,1238757376,0,0,0,0,606,682,0,0,0,135,275,0,3221221376,10,8,0,0,0,
17-10 12:50:36,0.062,0.062,99.875,0,0,699785216,65107681280,191016960,1238757376,0,0,0,0,605,548,0,0,0,96,157,0,3221221376,10,8,0,0,0,
17-10 12:50:37,0,0.063,99.937,0,0,699785216,65107681280,191016960,1238757376,0,0,0,0,306,548,0,0,0,89,147,0,3221221376,10,8,0,0,0,
17-10 12:50:38,0,0.063,99.937,0,0,699785216,65107681280,191016960,1238757376,0,65536,0,6,605,742,0,0,0,118,194,0,3221221376,10,8,0,0,0,
17-10 12:50:39,0.062,0.062,99.875,0,0,699785216,65107681280,191016960,1238757376,0,0,0,0,426,430,0,0,0,105,173,0,3221221376,10,8,0,0,0,


"Host:","node-32.36-intel-s-cloud.uic-cs-edu-pg0.utah.cloudlab.us",,,,"User:","dporte7"
"Cmdline:","dstat -t --cpu --mem --disk --io --net --int --sys --swap --tcp --output dstatoutput_load_gen_again.csv",,,,"Date:","17 Oct 2019 12:50:45 MDT"
"system","total cpu usage",,,,,"memory usage",,,,"dsk/total",,"io/total",,"net/total",,"interrupts",,,"system",,"swap",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","read","writ","read","writ","recv","send","77","78","79","int","csw","used","free","lis","act","syn","tim","clo"
17-10 12:50:45,5.330,0.791,93.878,0.002,0,699584512,65107881984,191016960,1238757376,724.818,136321.517,0.053,5.411,0,0,34.196,34.486,34.314,1102.562,6525.031,0,3221221376,10,8,0,0,0,
17-10 12:50:46,0.062,0.062,99.875,0,0,699658240,65107808256,191016960,1238757376,0,0,0,0,706,1148,1,0,0,103,194,0,3221221376,10,8,0,0,0,
17-10 12:50:47,0,0.125,99.875,0,0,699658240,65107808256,191016960,1238757376,0,0,0,0,366,682,0,0,0,113,193,0,3221221376,10,8,0,0,0,
17-10 12:50:48,0,0.063,99.937,0,0,699658240,65107808256,191016960,1238757376,0,0,0,0,485,548,0,0,0,92,154,0,3221221376,10,8,0,0,0,
17-10 12:50:49,0,0.125,99.875,0,0,699658240,65107808256,191016960,1238757376,0,0,0,0,546,548,0,1,0,92,172,0,3221221376,10,8,0,0,0,
17-10 12:50:50,0,0.063,99.937,0,0,699658240,65107808256,191016960,1238757376,0,0,0,0,605,614,0,0,0,100,159,0,3221221376,10,8,0,0,0,
17-10 12:50:51,0,0.063,99.937,0,0,699658240,65107808256,191016960,1238757376,0,24576,0,4,366,548,0,0,0,113,196,0,3221221376,10,8,0,0,0,
17-10 12:50:52,0,0.125,99.875,0,0,699658240,65107808256,191016960,1238757376,0,0,0,0,1240,564,0,0,0,109,164,0,3221221376,10,8,0,0,0,
17-10 12:50:53,0,0.063,99.937,0,0,699658240,65107808256,191016960,1238757376,0,0,0,0,821,548,0,0,0,107,194,0,3221221376,10,8,0,0,0,
17-10 12:50:54,0,0.125,99.875,0,0,699658240,65107808256,191016960,1238757376,0,0,0,0,785,414,0,0,0,87,141,0,3221221376,10,8,0,0,0,
17-10 12:50:55,0,0.063,99.937,0,0,699658240,65107808256,191016960,1238757376,0,0,0,0,2164,548,0,0,0,133,201,0,3221221376,10,8,0,0,0,
17-10 12:50:56,0,0.063,99.937,0,0,699658240,65107808256,191016960,1238757376,0,0,0,0,665,742,0,0,1,104,210,0,3221221376,10,8,0,0,0,
17-10 12:50:57,0,0.063,99.937,0,0,699658240,65107808256,191016960,1238757376,0,24576,0,4,306,414,0,0,0,103,158,0,3221221376,10,8,0,0,0,
17-10 12:50:58,0,0.125,99.875,0,0,699658240,65107808256,191016960,1238757376,0,40960,0,4,1000,564,0,0,1,108,192,0,3221221376,10,8,0,0,0,
17-10 12:50:59,0,0.063,99.937,0,0,699658240,65107808256,191016960,1238757376,0,0,0,0,486,698,0,2,0,128,224,0,3221221376,10,8,0,0,0,
17-10 12:51:00,0.062,0.062,99.875,0,0,699658240,65107808256,191016960,1238757376,0,0,0,0,545,548,0,1,0,96,160,0,3221221376,10,8,0,0,0,
17-10 12:51:01,0,0.062,99.938,0,0,699658240,65107808256,191016960,1238757376,0,0,0,0,426,548,0,0,1,91,151,0,3221221376,10,8,0,0,0,
17-10 12:51:02,0,0.063,99.937,0,0,699658240,65107808256,191016960,1238757376,0,0,0,0,1008,548,0,0,1,106,197,0,3221221376,10,8,0,0,0,
17-10 12:51:03,0,0.125,99.813,0.062,0,699658240,65107808256,191016960,1238757376,0,32768,0,4,760,578,0,0,0,120,192,0,3221221376,10,8,0,0,0,
17-10 12:51:04,0,0.063,99.937,0,0,699658240,65107808256,191016960,1238757376,0,0,0,0,879,564,0,0,1,98,161,0,3221221376,10,8,0,0,0,
17-10 12:51:05,0.062,0.062,99.875,0,0,699658240,65107808256,191016960,1238757376,0,0,0,0,726,682,1,0,1,114,217,0,3221221376,10,8,0,0,0,
17-10 12:51:06,0,0.125,99.875,0,0,699654144,65107808256,191016960,1238761472,0,0,0,0,665,608,0,0,0,103,167,0,3221221376,10,8,0,0,0,
17-10 12:51:07,0,0.063,99.937,0,0,699654144,65107808256,191016960,1238761472,0,0,0,0,486,608,0,0,1,113,187,0,3221221376,10,8,0,0,0,
17-10 12:51:08,0,0.063,99.937,0,0,699654144,65107808256,191016960,1238761472,0,0,0,0,605,548,0,0,0,96,160,0,3221221376,10,8,0,0,0,
17-10 12:51:09,0.125,0.063,99.812,0,0,699654144,65107808256,191016960,1238761472,0,65536,0,6,612,650,0,0,0,112,238,0,3221221376,10,8,0,0,0,
17-10 12:51:10,0,0.063,99.937,0,0,699654144,65107808256,191016960,1238761472,0,0,0,0,1393,698,0,0,0,117,176,0,3221221376,10,8,0,0,0,
17-10 12:51:11,0,0.125,99.875,0,0,699654144,65107808256,191016960,1238761472,0,0,0,0,486,414,0,0,0,99,171,0,3221221376,10,8,0,0,0,
17-10 12:51:12,0,0.063,99.937,0,0,699654144,65107808256,191016960,1238761472,0,0,0,0,665,548,0,0,0,94,153,0,3221221376,10,8,0,0,0,
17-10 12:51:13,0.063,0.063,99.875,0,0,699654144,65107808256,191016960,1238761472,0,0,0,0,1060,742,1,0,0,124,207,0,3221221376,10,8,0,0,0,
17-10 12:51:14,0,0.125,99.875,0,0,699654144,65107808256,191016960,1238761472,0,0,0,0,305,414,0,0,0,81,151,0,3221221376,10,8,0,0,0,
17-10 12:51:15,0,0.063,99.875,0.063,0,699654144,65107808256,191016960,1238761472,0,24576,0,4,1061,608,0,0,0,125,195,0,3221221376,10,8,0,0,0,
17-10 12:51:16,0,0.063,99.937,0,0,699654144,65107808256,191016960,1238761472,0,0,0,0,1060,698,1,0,0,143,233,0,3221221376,10,8,0,0,0,
17-10 12:51:17,0,0.125,99.875,0,0,699654144,65107808256,191016960,1238761472,0,0,0,0,186,414,0,0,0,97,152,0,3221221376,10,8,0,0,0,
17-10 12:51:18,0,0.063,99.937,0,0,699654144,65107808256,191016960,1238761472,0,0,0,0,785,816,2,1,0,115,258,0,3221221376,10,8,0,0,0,
17-10 12:51:19,0,0.063,99.937,0,0,699654144,65107808256,191016960,1238761472,0,8192,0,2,306,414,0,0,0,101,174,0,3221221376,10,8,0,0,0,
17-10 12:51:20,0.062,0.125,99.812,0,0,700162048,65107300352,191016960,1238761472,0,0,0,0,605,564,0,1,0,96,178,0,3221221376,10,8,0,0,0,
17-10 12:51:21,0,0.063,99.937,0,0,700416000,65107046400,191016960,1238761472,0,24576,0,4,426,682,0,0,0,112,201,0,3221221376,10,8,0,0,0,
17-10 12:51:22,0,0.063,99.937,0,0,700416000,65107046400,191016960,1238761472,0,0,0,0,665,564,1,0,0,100,156,0,3221221376,10,8,0,0,0,
17-10 12:51:23,0,0.125,99.875,0,0,700416000,65107046400,191016960,1238761472,0,0,0,0,306,548,0,0,0,114,233,0,3221221376,10,8,0,0,0,
17-10 12:51:24,0,0.125,99.875,0,0,700559360,65106903040,191016960,1238761472,0,0,0,0,1296,776,1,0,0,164,207,0,3221221376,10,8,0,0,0,
17-10 12:51:25,0,0.063,99.937,0,0,700559360,65106903040,191016960,1238761472,0,0,0,0,426,682,0,0,0,96,209,0,3221221376,10,8,0,0,0,
17-10 12:51:26,0,0.063,99.937,0,0,700559360,65106903040,191016960,1238761472,0,0,0,0,365,548,0,0,0,106,169,0,3221221376,10,8,0,0,0,
17-10 12:51:27,0,0.063,99.937,0,0,700559360,65106903040,191016960,1238761472,0,24576,0,4,186,474,0,0,0,102,181,0,3221221376,10,8,0,0,0,
17-10 12:51:28,0,0.063,99.937,0,0,700551168,65106911232,191016960,1238761472,0,0,0,0,725,758,0,0,0,107,193,0,3221221376,10,8,0,0,0,
17-10 12:51:29,0,0.125,99.875,0,0,700551168,65106911232,191016960,1238761472,0,40960,0,4,786,548,0,1,0,102,154,0,3221221376,10,8,0,0,0,
17-10 12:51:30,0,0.063,99.937,0,0,700551168,65106911232,191016960,1238761472,0,0,0,0,820,430,0,0,0,87,143,0,3221221376,10,8,0,0,0,
17-10 12:51:31,0,0.063,99.937,0,0,700551168,65106911232,191016960,1238761472,0,0,0,0,366,682,0,1,0,119,199,0,3221221376,10,8,0,0,0,
17-10 12:51:32,0,0.063,99.937,0,0,700551168,65106911232,191016960,1238761472,0,0,0,0,948,548,0,0,0,110,179,0,3221221376,10,8,0,0,0,
17-10 12:51:33,0,0.125,99.813,0.062,0,700551168,65106911232,191016960,1238761472,0,32768,0,4,486,650,0,0,0,119,225,0,3221221376,10,8,0,0,0,
17-10 12:51:34,0,0.063,99.937,0,0,700551168,65106911232,191016960,1238761472,0,0,0,0,431,1164,0,0,0,94,157,0,3221221376,10,8,0,0,0,
17-10 12:51:35,0.062,0.062,99.875,0,0,700551168,65106911232,191016960,1238761472,0,0,0,0,820,548,0,0,0,110,217,0,3221221376,10,8,0,0,0,
17-10 12:51:36,0,0.063,99.937,0,0,700547072,65106911232,191016960,1238765568,0,0,0,0,665,414,0,0,0,83,142,0,3221221376,10,8,0,0,0,
17-10 12:51:37,0,0.125,99.875,0,0,700547072,65106911232,191016960,1238765568,0,0,0,0,1095,548,0,0,0,105,163,0,3221221376,10,8,0,0,0,
17-10 12:51:38,0,0.063,99.937,0,0,700547072,65106911232,191016960,1238765568,0,0,0,0,665,608,0,0,1,97,191,0,3221221376,10,8,0,0,0,
17-10 12:51:39,0,0.063,99.937,0,0,700547072,65106911232,191016960,1238765568,0,90112,0,12,666,548,0,1,1,136,232,0,3221221376,10,8,0,0,0,
17-10 12:51:40,0,0.125,99.875,0,0,700547072,65106911232,191016960,1238765568,0,0,0,0,545,698,0,0,1,136,219,0,3221221376,10,8,0,0,0,
17-10 12:51:41,0,0.063,99.937,0,0,700547072,65106911232,191016960,1238765568,0,0,0,0,546,548,0,0,0,108,144,0,3221221376,10,8,0,0,0,
