


"Host:","node-13.36-intel-s-cloud.uic-cs-edu-pg0.utah.cloudlab.us",,,,"User:","dporte7"
"Cmdline:","dstat -t --cpu --mem --disk --io --net --int --sys --swap --tcp --output dstatoutput_load_gen_real.csv",,,,"Date:","01 Oct 2019 16:45:20 MDT"
"system","total cpu usage",,,,,"memory usage",,,,"dsk/total",,"io/total",,"net/total",,"interrupts",,,"system",,"swap",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","read","writ","read","writ","recv","send","77","78","79","int","csw","used","free","lis","act","syn","tim","clo"
01-10 16:45:21,2.386,0.296,97.312,0.007,0,12532805632,49909108736,267841536,4446547968,1394.871,394502.751,0.126,3.551,0,0,145.315,148.531,144.254,2888.607,3504.855,0,3221221376,10,13,0,15,0
01-10 16:45:22,0.062,0.125,99.812,0,0,12532879360,49909035008,267841536,4446547968,0,0,0,0,504,1728,0,0,0,116,179,0,3221221376,10,13,0,15,0
01-10 16:45:23,0,0.250,99.750,0,0,12532879360,49909035008,267841536,4446547968,0,0,0,0,991,836,0,0,0,112,181,0,3221221376,10,13,0,15,0
01-10 16:45:24,0,0.188,99.812,0,0,12532879360,49909035008,267841536,4446547968,0,0,0,0,426,606,0,0,0,92,149,0,3221221376,10,13,0,15,0
01-10 16:45:25,0.062,0.125,99.812,0,0,12532879360,49909035008,267841536,4446547968,0,0,0,0,425,606,0,0,0,102,175,0,3221221376,10,13,0,15,0
01-10 16:45:26,0,0.188,99.812,0,0,12532879360,49909035008,267841536,4446547968,0,0,0,0,521,606,0,0,0,107,179,0,3221221376,10,13,0,15,0
01-10 16:45:27,0,0.250,99.750,0,0,12532879360,49909035008,267841536,4446547968,0,24576,0,4,305,606,0,0,0,109,182,0,3221221376,10,13,0,15,0
01-10 16:45:28,0.062,0.125,99.812,0,0,12532879360,49909035008,267841536,4446547968,0,0,0,0,478,852,0,0,0,91,148,0,3221221376,10,13,0,15,0
01-10 16:45:29,0.062,0.188,99.750,0,0,12532879360,49909035008,267841536,4446547968,0,0,0,0,365,606,0,0,0,92,153,0,3221221376,10,13,0,15,0
01-10 16:45:30,0,0.188,99.812,0,0,12532879360,49909035008,267841536,4446547968,0,0,0,0,306,606,0,0,0,107,187,0,3221221376,10,13,0,15,0
01-10 16:45:31,0,0.250,99.750,0,0,12532879360,49909035008,267841536,4446547968,0,0,0,0,760,606,0,0,0,107,177,0,3221221376,10,13,0,15,0
01-10 16:45:32,7.098,0.628,92.211,0.063,0,12534513664,49907396608,267841536,4446552064,0,81920,0,6,812866,1020773,181,188,187,4382,6947,0,3221221376,10,84,0,15,0
01-10 16:45:33,53.180,6.234,40.586,0,0,12537819136,49904091136,267841536,4446552064,0,0,0,0,31560786,38973646,4599,4083,4721,68246,78030,0,3221221376,10,84,0,15,0
01-10 16:45:34,54.403,6.541,39.057,0,0,12539523072,49902379008,267841536,4446560256,0,0,0,0,35555390,43544278,5193,4381,5568,74413,87873,0,3221221376,10,84,0,15,0
01-10 16:45:35,58.191,7.147,34.662,0,0,12539711488,49902190592,267841536,4446560256,0,0,0,0,41461981,50842145,6300,4821,6174,87137,103045,0,3221221376,10,84,0,15,0
01-10 16:45:36,56.822,6.604,36.573,0,0,12541202432,49900699648,267841536,4446560256,0,401408,0,94,35923211,44628511,5526,4740,5602,77908,93493,0,3221221376,10,84,0,15,0
01-10 16:45:37,56.401,6.084,37.516,0,0,12541247488,49900650496,267841536,4446564352,0,0,0,0,29965815,37877187,4904,3774,4394,67933,71289,0,3221221376,10,84,0,15,0
01-10 16:45:38,61.887,6.604,31.509,0,0,12541181952,49900716032,267841536,4446564352,0,90112,0,6,40893989,50518590,5668,4854,6007,86023,98050,0,3221221376,10,84,0,15,0
01-10 16:45:39,59.054,6.814,34.132,0,0,12544180224,49897717760,267841536,4446564352,0,0,0,0,36978076,45938853,5704,4770,5732,79910,92071,0,3221221376,10,84,0,15,0
01-10 16:45:40,50.254,5.845,43.901,0,0,12544126976,49897766912,267841536,4446568448,0,0,0,0,33392098,41365257,5116,3900,4583,70615,87164,0,3221221376,10,84,0,15,0
01-10 16:45:41,61.209,7.053,31.738,0,0,12545110016,49896783872,267841536,4446568448,0,0,0,0,41106403,50373787,6392,4776,6011,87531,104542,0,3221221376,10,84,0,15,0
