


"Host:","node-32.36-intel-s-cloud.uic-cs-edu-pg0.utah.cloudlab.us",,,,"User:","dporte7"
"Cmdline:","dstat -t --cpu --mem --disk --io --net --int --sys --swap --tcp --output dstatoutput_load_gen_real.csv",,,,"Date:","01 Oct 2019 16:45:28 MDT"
"system","total cpu usage",,,,,"memory usage",,,,"dsk/total",,"io/total",,"net/total",,"interrupts",,,"system",,"swap",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","read","writ","read","writ","recv","send","77","78","79","int","csw","used","free","lis","act","syn","tim","clo"
01-10 16:45:28,1.698,0.438,97.862,0.002,0,1437278208,65193058304,82612224,593539072,2930.269,234907.140,0.211,5.124,0,0,42.882,42.984,42.760,1005.354,7172.601,0,3221221376,10,9,0,0,0
01-10 16:45:29,0,0.062,99.938,0,0,1437224960,65193111552,82612224,593539072,0,0,0,0,204,1728,0,0,0,80,145,0,3221221376,10,9,0,0,0
01-10 16:45:30,0,0,100,0,0,1437224960,65193111552,82612224,593539072,0,0,0,0,768,606,0,0,0,84,145,0,3221221376,10,9,0,0,0
01-10 16:45:31,0.062,0.062,99.875,0,0,1437224960,65193111552,82612224,593539072,0,0,0,0,701,606,0,0,0,104,183,0,3221221376,10,9,0,0,0
01-10 16:45:32,2.517,0.315,97.105,0.063,0,1445965824,65184350208,82620416,593551360,0,188416,0,4,4708875,2460125,93,114,103,2487,7125,0,3221221376,10,169,0,0,0
01-10 16:45:33,18.710,2.212,79.077,0,0,1451614208,65178701824,82620416,593551360,0,0,0,0,73595180,37410993,851,779,806,16415,18699,0,3221221376,10,169,0,0,0
01-10 16:45:34,19.141,1.579,79.280,0,0,1453875200,65176440832,82620416,593551360,0,0,0,0,72443547,36825516,867,832,802,16338,17665,0,3221221376,10,169,0,0,0
01-10 16:45:35,15.195,2.081,82.724,0,0,1454600192,65175715840,82620416,593551360,0,0,0,0,59004905,29984876,743,693,759,14025,13953,0,3221221376,10,169,0,0,0
01-10 16:45:36,19.557,2.025,78.418,0,0,1456320512,65173995520,82620416,593551360,0,0,0,0,76794011,39028085,904,852,919,17166,18802,0,3221221376,10,169,0,0,0
01-10 16:45:37,18.687,1.768,79.545,0,0,1456496640,65173811200,82628608,593551360,0,90112,0,12,71681409,36413449,867,757,848,16183,17136,0,3221221376,10,169,0,0,0
01-10 16:45:38,16.667,1.761,81.572,0,0,1457958912,65172348928,82628608,593551360,0,0,0,0,63308225,32160814,751,690,722,14618,15647,0,3221221376,10,169,0,0,0
